Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
380,name,name2996,Web,complete,insertValue,2019-03-07T15:25:28.806+11:00,surname,surname2996,Web,complete,insertValue,2019-03-07T15:25:32.989+11:00,age,25,Web,complete,insertValue,2019-03-07T15:25:32.989+11:00,1,type,Web,complete,insertValue,2019-03-07T15:25:47.905+11:00,B1,Web,complete,clickButton,2019-03-07T15:26:05.999+11:00,insertValue,B,1895,Excel,2,complete,2019-03-07T15:26:08.529+11:00,Web,complete,goToUrl,2019-03-07T15:26:15.861+11:00,www.webpage2.com,value2,value1895,Web,complete,copy,2019-03-07T15:26:35.150+11:00,paste,C,vaue1895,Excel,2
381,name,name2994,Web,complete,insertValue,2019-03-07T15:26:51.896+11:00,surname,surname2994,Web,complete,insertValue,2019-03-07T15:27:06.971+11:00,age,23,Web,complete,insertValue,2019-03-07T15:27:15.370+11:00,3,type,Web,complete,insertValue,2019-03-07T15:27:22.563+11:00,B4,Web,complete,clickButton,2019-03-07T15:27:31.205+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:27:34.866+11:00,data123.xls,3379,Excel,complete,findValue,FALSE,2019-03-07T15:27:38.178+11:00,copy,B,value2994,Excel,1,complete,2019-03-07T15:27:40.072+11:00,paste,C,vaue2994,Excel
382,name,name1537,Web,complete,insertValue,2019-03-07T15:27:58.532+11:00,surname,surname1537,Web,complete,insertValue,2019-03-07T15:28:12.119+11:00,age,23,Web,complete,insertValue,2019-03-07T15:28:13.053+11:00,1,type,Web,complete,insertValue,2019-03-07T15:28:18.503+11:00,B1,Web,complete,clickButton,2019-03-07T15:28:31.420+11:00,insertValue,B,3435,Excel,40,complete,2019-03-07T15:28:33.967+11:00,Web,complete,goToUrl,2019-03-07T15:28:46.146+11:00,www.webpage2.com,value2,value3435,Web,complete,copy,2019-03-07T15:28:54.923+11:00,finalCode,vaue3435,Web,complete,paste
383,name,name224,Web,complete,insertValue,2019-03-07T15:29:10.409+11:00,surname,surname224,Web,complete,insertValue,2019-03-07T15:29:11.573+11:00,age,29,Web,complete,insertValue,2019-03-07T15:29:15.790+11:00,2,type,Web,complete,insertValue,2019-03-07T15:29:18.489+11:00,B1,Web,complete,clickButton,2019-03-07T15:29:26.625+11:00,insertValue,B,2806,Excel,21,complete,2019-03-07T15:29:31.055+11:00,Web,complete,goToUrl,2019-03-07T15:29:31.055+11:00,www.webpage2.com,value2,value2806,Web,complete,copy,2019-03-07T15:29:35.842+11:00,finalCode,vaue2806,Web,complete,paste
384,name,name110,Web,complete,insertValue,2019-03-07T15:29:52.125+11:00,surname,surname110,Web,complete,insertValue,2019-03-07T15:30:00.328+11:00,age,23,Web,complete,insertValue,2019-03-07T15:30:07.460+11:00,4,type,Web,complete,insertValue,2019-03-07T15:30:09.781+11:00,B4,Web,complete,clickButton,2019-03-07T15:30:20.789+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:30:23.282+11:00,data123.xls,3184,Excel,complete,findValue,FALSE,2019-03-07T15:30:25.667+11:00,copy,B,value110,Excel,1,complete,2019-03-07T15:30:29.270+11:00,paste,C,vaue110,Excel
385,name,name818,Web,complete,insertValue,2019-03-07T15:30:47.223+11:00,surname,surname818,Web,complete,insertValue,2019-03-07T15:31:04.759+11:00,age,20,Web,complete,insertValue,2019-03-07T15:31:06.261+11:00,3,type,Web,complete,insertValue,2019-03-07T15:31:18.538+11:00,B4,Web,complete,clickButton,2019-03-07T15:31:25.154+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:31:29.934+11:00,data123.xls,2954,Excel,complete,findValue,TRUE,2019-03-07T15:31:33.101+11:00,copy,B,value818,Excel,1,complete,2019-03-07T15:31:36.976+11:00,finalCode,vaue818,Web,complete
386,name,name846,Web,complete,insertValue,2019-03-07T15:31:49.807+11:00,surname,surname846,Web,complete,insertValue,2019-03-07T15:31:49.807+11:00,age,29,Web,complete,insertValue,2019-03-07T15:31:51.743+11:00,3,type,Web,complete,insertValue,2019-03-07T15:32:00.213+11:00,B4,Web,complete,clickButton,2019-03-07T15:32:04.179+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:32:05.780+11:00,data123.xls,1209,Excel,complete,findValue,TRUE,2019-03-07T15:32:07.196+11:00,copy,B,value846,Excel,1,complete,2019-03-07T15:32:11.078+11:00,finalCode,vaue846,Web,complete
387,name,name2051,Web,complete,insertValue,2019-03-07T15:32:27.675+11:00,surname,surname2051,Web,complete,insertValue,2019-03-07T15:32:40.476+11:00,age,25,Web,complete,insertValue,2019-03-07T15:32:40.476+11:00,3,type,Web,complete,insertValue,2019-03-07T15:32:45.979+11:00,B4,Web,complete,clickButton,2019-03-07T15:32:48.464+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:32:52.304+11:00,data123.xls,3780,Excel,complete,findValue,TRUE,2019-03-07T15:32:55.172+11:00,copy,B,value2051,Excel,1,complete,2019-03-07T15:32:58.067+11:00,finalCode,vaue2051,Web,complete
388,name,name1135,Web,complete,insertValue,2019-03-07T15:33:13.585+11:00,surname,surname1135,Web,complete,insertValue,2019-03-07T15:33:17.760+11:00,age,18,Web,complete,insertValue,2019-03-07T15:33:30.248+11:00,2,type,Web,complete,insertValue,2019-03-07T15:33:35.783+11:00,B1,Web,complete,clickButton,2019-03-07T15:33:40.948+11:00,insertValue,B,4844,Excel,35,complete,2019-03-07T15:33:44.355+11:00,Web,complete,goToUrl,2019-03-07T15:33:51.226+11:00,www.webpage2.com,value2,value4844,Web,complete,copy,2019-03-07T15:34:04.039+11:00,paste,C,vaue4844,Excel,2
389,name,name1405,Web,complete,insertValue,2019-03-07T15:34:22.319+11:00,surname,surname1405,Web,complete,insertValue,2019-03-07T15:34:28.046+11:00,age,47,Web,complete,insertValue,2019-03-07T15:34:30.552+11:00,1,type,Web,complete,insertValue,2019-03-07T15:34:45.084+11:00,B1,Web,complete,clickButton,2019-03-07T15:34:52.199+11:00,insertValue,B,4373,Excel,14,complete,2019-03-07T15:34:55.966+11:00,Web,complete,goToUrl,2019-03-07T15:34:59.818+11:00,www.webpage2.com,value2,value4373,Web,complete,copy,2019-03-07T15:35:05.402+11:00,finalCode,vaue4373,Web,complete,paste
390,name,name492,Web,complete,insertValue,2019-03-07T15:35:22.093+11:00,surname,surname492,Web,complete,insertValue,2019-03-07T15:35:26.537+11:00,age,28,Web,complete,insertValue,2019-03-07T15:35:33.739+11:00,2,type,Web,complete,insertValue,2019-03-07T15:35:44.458+11:00,B1,Web,complete,clickButton,2019-03-07T15:35:57.627+11:00,insertValue,B,3344,Excel,18,complete,2019-03-07T15:36:02.261+11:00,Web,complete,goToUrl,2019-03-07T15:36:18.918+11:00,www.webpage2.com,value2,value3344,Web,complete,copy,2019-03-07T15:36:30.300+11:00,finalCode,vaue3344,Web,complete,paste
391,name,name1928,Web,complete,insertValue,2019-03-07T15:36:45.431+11:00,surname,surname1928,Web,complete,insertValue,2019-03-07T15:36:57.509+11:00,age,29,Web,complete,insertValue,2019-03-07T15:37:01.887+11:00,1,type,Web,complete,insertValue,2019-03-07T15:37:09.286+11:00,B1,Web,complete,clickButton,2019-03-07T15:37:14.568+11:00,insertValue,B,1127,Excel,4,complete,2019-03-07T15:37:18.283+11:00,Web,complete,goToUrl,2019-03-07T15:37:24.554+11:00,www.webpage2.com,value2,value1127,Web,complete,copy,2019-03-07T15:37:41.986+11:00,paste,C,vaue1127,Excel,2
392,name,name1121,Web,complete,insertValue,2019-03-07T15:38:03.557+11:00,surname,surname1121,Web,complete,insertValue,2019-03-07T15:38:10.623+11:00,age,28,Web,complete,insertValue,2019-03-07T15:38:19.897+11:00,4,type,Web,complete,insertValue,2019-03-07T15:38:34.858+11:00,B4,Web,complete,clickButton,2019-03-07T15:38:36.328+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:38:40.718+11:00,data123.xls,1179,Excel,complete,findValue,TRUE,2019-03-07T15:38:44.025+11:00,copy,B,value1121,Excel,1,complete,2019-03-07T15:38:46.726+11:00,paste,C,vaue1121,Excel
393,name,name1268,Web,complete,insertValue,2019-03-07T15:39:04.643+11:00,surname,surname1268,Web,complete,insertValue,2019-03-07T15:39:11.003+11:00,age,28,Web,complete,insertValue,2019-03-07T15:39:13.502+11:00,2,type,Web,complete,insertValue,2019-03-07T15:39:13.502+11:00,B1,Web,complete,clickButton,2019-03-07T15:39:21.625+11:00,insertValue,B,4807,Excel,21,complete,2019-03-07T15:39:23.608+11:00,Web,complete,goToUrl,2019-03-07T15:39:36.011+11:00,www.webpage2.com,value2,value4807,Web,complete,copy,2019-03-07T15:39:48.060+11:00,finalCode,vaue4807,Web,complete,paste
394,name,name1240,Web,complete,insertValue,2019-03-07T15:40:03.696+11:00,surname,surname1240,Web,complete,insertValue,2019-03-07T15:40:10.629+11:00,age,50,Web,complete,insertValue,2019-03-07T15:40:16.717+11:00,4,type,Web,complete,insertValue,2019-03-07T15:40:18.638+11:00,B4,Web,complete,clickButton,2019-03-07T15:40:25.585+11:00,Web,complete,goToUrl,2019-03-07T15:40:27.744+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T15:40:30.874+11:00,valueX,valuex1240,Web,complete,insertValue,2019-03-07T15:40:30.874+11:00,Cancel,Web,complete,clickButton,2019-03-07T15:40:34.210+11:00,,
395,name,name378,Web,complete,insertValue,2019-03-07T15:40:44.210+11:00,surname,surname378,Web,complete,insertValue,2019-03-07T15:40:52.246+11:00,age,20,Web,complete,insertValue,2019-03-07T15:41:01.632+11:00,1,type,Web,complete,insertValue,2019-03-07T15:41:05.640+11:00,B1,Web,complete,clickButton,2019-03-07T15:41:11.058+11:00,insertValue,B,4072,Excel,8,complete,2019-03-07T15:41:14.678+11:00,Web,complete,goToUrl,2019-03-07T15:41:33.378+11:00,www.webpage2.com,value2,value4072,Web,complete,copy,2019-03-07T15:41:36.802+11:00,finalCode,vaue4072,Web,complete,paste
396,name,name2587,Web,complete,insertValue,2019-03-07T15:41:51.361+11:00,surname,surname2587,Web,complete,insertValue,2019-03-07T15:42:00.512+11:00,age,25,Web,complete,insertValue,2019-03-07T15:42:23.501+11:00,4,type,Web,complete,insertValue,2019-03-07T15:42:29.845+11:00,B4,Web,complete,clickButton,2019-03-07T15:42:34.928+11:00,Web,complete,goToUrl,2019-03-07T15:42:36.481+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T15:42:38.519+11:00,valueX,valuex2587,Web,complete,insertValue,2019-03-07T15:42:51.358+11:00,Cancel,Web,complete,clickButton,2019-03-07T15:42:53.711+11:00,,
397,name,name1676,Web,complete,insertValue,2019-03-07T15:43:03.711+11:00,surname,surname1676,Web,complete,insertValue,2019-03-07T15:43:10.236+11:00,age,20,Web,complete,insertValue,2019-03-07T15:43:21.552+11:00,1,type,Web,complete,insertValue,2019-03-07T15:43:28.193+11:00,B1,Web,complete,clickButton,2019-03-07T15:43:32.877+11:00,insertValue,B,2141,Excel,39,complete,2019-03-07T15:43:34.246+11:00,Web,complete,goToUrl,2019-03-07T15:43:40.456+11:00,www.webpage2.com,value2,value2141,Web,complete,copy,2019-03-07T15:43:44.729+11:00,finalCode,vaue2141,Web,complete,paste
398,name,name904,Web,complete,insertValue,2019-03-07T15:44:02.054+11:00,surname,surname904,Web,complete,insertValue,2019-03-07T15:44:07.558+11:00,age,23,Web,complete,insertValue,2019-03-07T15:44:21.613+11:00,2,type,Web,complete,insertValue,2019-03-07T15:44:27.191+11:00,B1,Web,complete,clickButton,2019-03-07T15:44:38.705+11:00,insertValue,B,3524,Excel,16,complete,2019-03-07T15:44:39.877+11:00,Web,complete,goToUrl,2019-03-07T15:44:49.320+11:00,www.webpage2.com,value2,value3524,Web,complete,copy,2019-03-07T15:44:56.930+11:00,paste,C,vaue3524,Excel,2
399,name,name122,Web,complete,insertValue,2019-03-07T15:45:10.226+11:00,surname,surname122,Web,complete,insertValue,2019-03-07T15:45:15.814+11:00,age,19,Web,complete,insertValue,2019-03-07T15:45:25.385+11:00,3,type,Web,complete,insertValue,2019-03-07T15:45:33.064+11:00,B4,Web,complete,clickButton,2019-03-07T15:45:42.636+11:00,Web,complete,goToUrl,2019-03-07T15:45:45.111+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T15:45:48.054+11:00,valueX,valuex122,Web,complete,insertValue,2019-03-07T15:45:59.118+11:00,OK,Web,complete,clickButton,2019-03-07T15:46:03.290+11:00,,
400,name,name2615,Web,complete,insertValue,2019-03-07T15:46:13.290+11:00,surname,surname2615,Web,complete,insertValue,2019-03-07T15:46:15.116+11:00,age,18,Web,complete,insertValue,2019-03-07T15:46:22.645+11:00,1,type,Web,complete,insertValue,2019-03-07T15:46:27.685+11:00,B1,Web,complete,clickButton,2019-03-07T15:46:33.642+11:00,insertValue,B,3849,Excel,28,complete,2019-03-07T15:46:37.468+11:00,Web,complete,goToUrl,2019-03-07T15:46:50.905+11:00,www.webpage2.com,value2,value3849,Web,complete,copy,2019-03-07T15:46:50.905+11:00,paste,C,vaue3849,Excel,2
401,name,name2421,Web,complete,insertValue,2019-03-07T15:47:05.317+11:00,surname,surname2421,Web,complete,insertValue,2019-03-07T15:47:12.667+11:00,age,18,Web,complete,insertValue,2019-03-07T15:47:22.376+11:00,2,type,Web,complete,insertValue,2019-03-07T15:47:23.801+11:00,B1,Web,complete,clickButton,2019-03-07T15:47:26.316+11:00,insertValue,B,2434,Excel,21,complete,2019-03-07T15:47:29.857+11:00,Web,complete,goToUrl,2019-03-07T15:47:43.352+11:00,www.webpage2.com,value2,value2434,Web,complete,copy,2019-03-07T15:47:46.561+11:00,paste,C,vaue2434,Excel,2
402,name,name2769,Web,complete,insertValue,2019-03-07T15:48:03.496+11:00,surname,surname2769,Web,complete,insertValue,2019-03-07T15:48:03.496+11:00,age,21,Web,complete,insertValue,2019-03-07T15:48:18.026+11:00,3,type,Web,complete,insertValue,2019-03-07T15:48:33.485+11:00,B4,Web,complete,clickButton,2019-03-07T15:48:35.716+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:48:38.672+11:00,data123.xls,4342,Excel,complete,findValue,FALSE,2019-03-07T15:48:42.274+11:00,copy,B,value2769,Excel,1,complete,2019-03-07T15:48:43.229+11:00,paste,C,vaue2769,Excel
403,name,name2572,Web,complete,insertValue,2019-03-07T15:48:59.698+11:00,surname,surname2572,Web,complete,insertValue,2019-03-07T15:49:06.506+11:00,age,29,Web,complete,insertValue,2019-03-07T15:49:16.323+11:00,1,type,Web,complete,insertValue,2019-03-07T15:49:28.636+11:00,B1,Web,complete,clickButton,2019-03-07T15:49:37.865+11:00,insertValue,B,3318,Excel,23,complete,2019-03-07T15:49:41.340+11:00,Web,complete,goToUrl,2019-03-07T15:49:58.320+11:00,www.webpage2.com,value2,value3318,Web,complete,copy,2019-03-07T15:50:04.165+11:00,paste,C,vaue3318,Excel,2
404,name,name490,Web,complete,insertValue,2019-03-07T15:50:23.675+11:00,surname,surname490,Web,complete,insertValue,2019-03-07T15:50:23.675+11:00,age,20,Web,complete,insertValue,2019-03-07T15:50:31.860+11:00,1,type,Web,complete,insertValue,2019-03-07T15:50:37.533+11:00,B1,Web,complete,clickButton,2019-03-07T15:50:45.467+11:00,insertValue,B,1337,Excel,22,complete,2019-03-07T15:50:47.323+11:00,Web,complete,goToUrl,2019-03-07T15:51:01.805+11:00,www.webpage2.com,value2,value1337,Web,complete,copy,2019-03-07T15:51:02.907+11:00,finalCode,vaue1337,Web,complete,paste
405,name,name1460,Web,complete,insertValue,2019-03-07T15:51:19.396+11:00,surname,surname1460,Web,complete,insertValue,2019-03-07T15:51:25.336+11:00,age,24,Web,complete,insertValue,2019-03-07T15:51:27.052+11:00,3,type,Web,complete,insertValue,2019-03-07T15:51:35.350+11:00,B4,Web,complete,clickButton,2019-03-07T15:52:01.680+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:52:05.490+11:00,data123.xls,4160,Excel,complete,findValue,FALSE,2019-03-07T15:52:09.607+11:00,copy,B,value1460,Excel,1,complete,2019-03-07T15:52:13.791+11:00,finalCode,vaue1460,Web,complete
406,name,name1178,Web,complete,insertValue,2019-03-07T15:52:30.015+11:00,surname,surname1178,Web,complete,insertValue,2019-03-07T15:52:40.237+11:00,age,21,Web,complete,insertValue,2019-03-07T15:52:54.327+11:00,3,type,Web,complete,insertValue,2019-03-07T15:53:07.220+11:00,B4,Web,complete,clickButton,2019-03-07T15:53:19.190+11:00,Web,complete,goToUrl,2019-03-07T15:53:23.278+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T15:53:25.928+11:00,valueX,valuex1178,Web,complete,insertValue,2019-03-07T15:53:26.741+11:00,Cancel,Web,complete,clickButton,2019-03-07T15:53:30.287+11:00,,
407,name,name2548,Web,complete,insertValue,2019-03-07T15:53:40.287+11:00,surname,surname2548,Web,complete,insertValue,2019-03-07T15:53:54.826+11:00,age,48,Web,complete,insertValue,2019-03-07T15:54:05.947+11:00,2,type,Web,complete,insertValue,2019-03-07T15:54:05.947+11:00,B1,Web,complete,clickButton,2019-03-07T15:54:05.947+11:00,insertValue,B,4405,Excel,40,complete,2019-03-07T15:54:11.148+11:00,Web,complete,goToUrl,2019-03-07T15:54:21.325+11:00,www.webpage2.com,value2,value4405,Web,complete,copy,2019-03-07T15:54:28.238+11:00,paste,C,vaue4405,Excel,2
408,name,name2651,Web,complete,insertValue,2019-03-07T15:54:44.366+11:00,surname,surname2651,Web,complete,insertValue,2019-03-07T15:54:52.192+11:00,age,25,Web,complete,insertValue,2019-03-07T15:55:07.727+11:00,4,type,Web,complete,insertValue,2019-03-07T15:55:22.308+11:00,B4,Web,complete,clickButton,2019-03-07T15:55:32.890+11:00,Web,complete,goToUrl,2019-03-07T15:55:38.107+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T15:55:41.358+11:00,valueX,valuex2651,Web,complete,insertValue,2019-03-07T15:55:43.006+11:00,OK,Web,complete,clickButton,2019-03-07T15:55:47.716+11:00,,
409,name,name2507,Web,complete,insertValue,2019-03-07T15:55:57.716+11:00,surname,surname2507,Web,complete,insertValue,2019-03-07T15:56:06.903+11:00,age,18,Web,complete,insertValue,2019-03-07T15:56:20.551+11:00,2,type,Web,complete,insertValue,2019-03-07T15:56:37.825+11:00,B1,Web,complete,clickButton,2019-03-07T15:56:47.369+11:00,insertValue,B,3974,Excel,37,complete,2019-03-07T15:56:49.187+11:00,Web,complete,goToUrl,2019-03-07T15:56:51.702+11:00,www.webpage2.com,value2,value3974,Web,complete,copy,2019-03-07T15:57:06.418+11:00,finalCode,vaue3974,Web,complete,paste
410,name,name2475,Web,complete,insertValue,2019-03-07T15:57:23.211+11:00,surname,surname2475,Web,complete,insertValue,2019-03-07T15:57:25.871+11:00,age,28,Web,complete,insertValue,2019-03-07T15:57:33.233+11:00,3,type,Web,complete,insertValue,2019-03-07T15:57:40.335+11:00,B4,Web,complete,clickButton,2019-03-07T15:57:52.026+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:57:54.559+11:00,data123.xls,2095,Excel,complete,findValue,TRUE,2019-03-07T15:57:59.505+11:00,copy,B,value2475,Excel,1,complete,2019-03-07T15:58:00.196+11:00,paste,C,vaue2475,Excel
411,name,name2410,Web,complete,insertValue,2019-03-07T15:58:21.994+11:00,surname,surname2410,Web,complete,insertValue,2019-03-07T15:58:26.977+11:00,age,27,Web,complete,insertValue,2019-03-07T15:58:36.693+11:00,4,type,Web,complete,insertValue,2019-03-07T15:58:43.923+11:00,B4,Web,complete,clickButton,2019-03-07T15:58:53.282+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:58:57.292+11:00,data123.xls,4098,Excel,complete,findValue,TRUE,2019-03-07T15:59:01.257+11:00,copy,B,value2410,Excel,1,complete,2019-03-07T15:59:04.671+11:00,finalCode,vaue2410,Web,complete
412,name,name2437,Web,complete,insertValue,2019-03-07T15:59:21.656+11:00,surname,surname2437,Web,complete,insertValue,2019-03-07T15:59:27.632+11:00,age,32,Web,complete,insertValue,2019-03-07T15:59:39.141+11:00,4,type,Web,complete,insertValue,2019-03-07T15:59:39.141+11:00,B4,Web,complete,clickButton,2019-03-07T15:59:44.678+11:00,Excel,complete,openFile,Sheet1,2019-03-07T15:59:47.416+11:00,data123.xls,3609,Excel,complete,findValue,FALSE,2019-03-07T15:59:51.013+11:00,copy,B,value2437,Excel,1,complete,2019-03-07T15:59:54.280+11:00,finalCode,vaue2437,Web,complete
413,name,name37,Web,complete,insertValue,2019-03-07T16:00:11.631+11:00,surname,surname37,Web,complete,insertValue,2019-03-07T16:00:24.646+11:00,age,18,Web,complete,insertValue,2019-03-07T16:00:36.303+11:00,1,type,Web,complete,insertValue,2019-03-07T16:00:47.840+11:00,B1,Web,complete,clickButton,2019-03-07T16:01:00.876+11:00,insertValue,B,3750,Excel,25,complete,2019-03-07T16:01:04.586+11:00,Web,complete,goToUrl,2019-03-07T16:01:15.056+11:00,www.webpage2.com,value2,value3750,Web,complete,copy,2019-03-07T16:01:22.505+11:00,paste,C,vaue3750,Excel,2
414,name,name591,Web,complete,insertValue,2019-03-07T16:01:39.185+11:00,surname,surname591,Web,complete,insertValue,2019-03-07T16:01:39.403+11:00,age,29,Web,complete,insertValue,2019-03-07T16:01:47.021+11:00,1,type,Web,complete,insertValue,2019-03-07T16:01:54.527+11:00,B1,Web,complete,clickButton,2019-03-07T16:01:56.586+11:00,insertValue,B,1136,Excel,22,complete,2019-03-07T16:02:00.677+11:00,Web,complete,goToUrl,2019-03-07T16:02:17.746+11:00,www.webpage2.com,value2,value1136,Web,complete,copy,2019-03-07T16:02:20.589+11:00,finalCode,vaue1136,Web,complete,paste
415,name,name2495,Web,complete,insertValue,2019-03-07T16:02:34.609+11:00,surname,surname2495,Web,complete,insertValue,2019-03-07T16:02:45.406+11:00,age,20,Web,complete,insertValue,2019-03-07T16:02:55.278+11:00,3,type,Web,complete,insertValue,2019-03-07T16:02:59.340+11:00,B4,Web,complete,clickButton,2019-03-07T16:03:07.467+11:00,Web,complete,goToUrl,2019-03-07T16:03:09.910+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:03:11.287+11:00,valueX,valuex2495,Web,complete,insertValue,2019-03-07T16:03:18.241+11:00,OK,Web,complete,clickButton,2019-03-07T16:03:20.222+11:00,,
416,name,name924,Web,complete,insertValue,2019-03-07T16:03:30.222+11:00,surname,surname924,Web,complete,insertValue,2019-03-07T16:03:41.145+11:00,age,20,Web,complete,insertValue,2019-03-07T16:03:41.145+11:00,2,type,Web,complete,insertValue,2019-03-07T16:03:57.728+11:00,B1,Web,complete,clickButton,2019-03-07T16:04:03.447+11:00,insertValue,B,1537,Excel,2,complete,2019-03-07T16:04:06.593+11:00,Web,complete,goToUrl,2019-03-07T16:04:13.820+11:00,www.webpage2.com,value2,value1537,Web,complete,copy,2019-03-07T16:04:19.064+11:00,paste,C,vaue1537,Excel,2
417,name,name2886,Web,complete,insertValue,2019-03-07T16:04:36.044+11:00,surname,surname2886,Web,complete,insertValue,2019-03-07T16:04:51.919+11:00,age,29,Web,complete,insertValue,2019-03-07T16:04:57.550+11:00,4,type,Web,complete,insertValue,2019-03-07T16:05:04.768+11:00,B4,Web,complete,clickButton,2019-03-07T16:05:19.818+11:00,Web,complete,goToUrl,2019-03-07T16:05:22.882+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:05:26.160+11:00,valueX,valuex2886,Web,complete,insertValue,2019-03-07T16:05:38.313+11:00,OK,Web,complete,clickButton,2019-03-07T16:05:42.346+11:00,,
418,name,name2418,Web,complete,insertValue,2019-03-07T16:05:52.346+11:00,surname,surname2418,Web,complete,insertValue,2019-03-07T16:06:01.459+11:00,age,27,Web,complete,insertValue,2019-03-07T16:06:07.778+11:00,1,type,Web,complete,insertValue,2019-03-07T16:06:15.440+11:00,B1,Web,complete,clickButton,2019-03-07T16:06:23.981+11:00,insertValue,B,1842,Excel,23,complete,2019-03-07T16:06:27.912+11:00,Web,complete,goToUrl,2019-03-07T16:06:45.640+11:00,www.webpage2.com,value2,value1842,Web,complete,copy,2019-03-07T16:06:55.440+11:00,finalCode,vaue1842,Web,complete,paste
419,name,name2258,Web,complete,insertValue,2019-03-07T16:07:13.421+11:00,surname,surname2258,Web,complete,insertValue,2019-03-07T16:07:19.085+11:00,age,26,Web,complete,insertValue,2019-03-07T16:07:33.983+11:00,4,type,Web,complete,insertValue,2019-03-07T16:07:50.426+11:00,B4,Web,complete,clickButton,2019-03-07T16:07:58.826+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:08:00.575+11:00,data123.xls,3127,Excel,complete,findValue,FALSE,2019-03-07T16:08:04.342+11:00,copy,B,value2258,Excel,1,complete,2019-03-07T16:08:08.678+11:00,finalCode,vaue2258,Web,complete
420,name,name526,Web,complete,insertValue,2019-03-07T16:08:24.663+11:00,surname,surname526,Web,complete,insertValue,2019-03-07T16:08:32.688+11:00,age,28,Web,complete,insertValue,2019-03-07T16:08:39.638+11:00,3,type,Web,complete,insertValue,2019-03-07T16:08:45.759+11:00,B4,Web,complete,clickButton,2019-03-07T16:08:53.953+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:08:55.650+11:00,data123.xls,3222,Excel,complete,findValue,TRUE,2019-03-07T16:08:59.206+11:00,copy,B,value526,Excel,1,complete,2019-03-07T16:09:02.825+11:00,finalCode,vaue526,Web,complete
421,name,name922,Web,complete,insertValue,2019-03-07T16:09:20.128+11:00,surname,surname922,Web,complete,insertValue,2019-03-07T16:09:28.557+11:00,age,27,Web,complete,insertValue,2019-03-07T16:09:30.589+11:00,4,type,Web,complete,insertValue,2019-03-07T16:09:43.011+11:00,B4,Web,complete,clickButton,2019-03-07T16:09:53.848+11:00,Excel,complete,openFile,Sheet1,2019-03-07T16:09:56.643+11:00,data123.xls,1010,Excel,complete,findValue,FALSE,2019-03-07T16:09:58.785+11:00,copy,B,value922,Excel,1,complete,2019-03-07T16:10:01.712+11:00,paste,C,vaue922,Excel
422,name,name1886,Web,complete,insertValue,2019-03-07T16:10:18.673+11:00,surname,surname1886,Web,complete,insertValue,2019-03-07T16:10:24.513+11:00,age,20,Web,complete,insertValue,2019-03-07T16:10:29.623+11:00,4,type,Web,complete,insertValue,2019-03-07T16:10:30.471+11:00,B4,Web,complete,clickButton,2019-03-07T16:10:42.577+11:00,Web,complete,goToUrl,2019-03-07T16:10:44.983+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T16:10:47.866+11:00,valueX,valuex1886,Web,complete,insertValue,2019-03-07T16:11:00.836+11:00,Cancel,Web,complete,clickButton,2019-03-07T16:11:05.090+11:00,,
