Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
108,Clients,Web,complete,clickButton,2019-03-05T13:37:41.455+11:00,clientID,ID1134,Web,complete,insertValue,2019-03-05T13:37:44.871+11:00,Web,complete,pressKey,2019-03-05T13:37:58.848+11:00,enter,update,ID1134,Web,complete,clickButton,2019-03-05T13:37:59.996+11:00,address,addA349addB84,Web,complete,insertValue,2019-03-05T13:38:02.895+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:38:02.895+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:38:08.585+11:00,ID1134,address,addB84,Web,complete,copy,2019-03-05T13:38:21.590+11:00,paste,A,addB84,Excel,5,complete,2019-03-05T13:38:30.401+11:00,save,Excel,complete,saveFile,2019-03-05T13:38:34.073+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:38:35.431+11:00
109,Clients,Web,complete,clickButton,2019-03-05T13:38:47.219+11:00,clientID,ID15,Web,complete,insertValue,2019-03-05T13:38:50.696+11:00,Web,complete,pressKey,2019-03-05T13:38:53.646+11:00,enter,update,ID15,Web,complete,clickButton,2019-03-05T13:38:55.087+11:00,address,addA1403addB693,Web,complete,insertValue,2019-03-05T13:38:58.045+11:00,Country140,country,Web,complete,insertValue,2019-03-05T13:39:06.563+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:39:12.996+11:00,OK,Web,complete,clickButton,2019-03-05T13:39:16.920+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:39:21.020+11:00,,,,,,,,,,,,,,,
110,Clients,Web,complete,clickButton,2019-03-05T13:39:34.511+11:00,clientID,ID1633,Web,complete,insertValue,2019-03-05T13:39:37.189+11:00,Web,complete,pressKey,2019-03-05T13:39:49.919+11:00,enter,update,ID1633,Web,complete,clickButton,2019-03-05T13:39:52.886+11:00,address,addA47addB1843,Web,complete,insertValue,2019-03-05T13:39:54.814+11:00,Country111,country,Web,complete,insertValue,2019-03-05T13:40:01.512+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:40:05.237+11:00,OK,Web,complete,clickButton,2019-03-05T13:40:09.918+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:40:12.758+11:00,,,,,,,,,,,,,,,
111,Clients,Web,complete,clickButton,2019-03-05T13:40:25.869+11:00,clientID,ID995,Web,complete,insertValue,2019-03-05T13:40:27.072+11:00,Web,complete,pressKey,2019-03-05T13:40:42.431+11:00,enter,update,ID995,Web,complete,clickButton,2019-03-05T13:40:46.649+11:00,address,addA707addB1315,Web,complete,insertValue,2019-03-05T13:40:48.901+11:00,Country127,country,Web,complete,insertValue,2019-03-05T13:41:02.974+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:41:03.043+11:00,OK,Web,complete,clickButton,2019-03-05T13:41:07.973+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:41:11.807+11:00,,,,,,,,,,,,,,,
112,Clients,Web,complete,clickButton,2019-03-05T13:41:26.114+11:00,clientID,ID1685,Web,complete,insertValue,2019-03-05T13:41:28.869+11:00,Web,complete,pressKey,2019-03-05T13:41:44.353+11:00,enter,update,ID1685,Web,complete,clickButton,2019-03-05T13:41:47.413+11:00,address,addA1722addB792,Web,complete,insertValue,2019-03-05T13:41:49.339+11:00,Country54,country,Web,complete,insertValue,2019-03-05T13:41:50.422+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:41:59.828+11:00,OK,Web,complete,clickButton,2019-03-05T13:42:04.315+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:42:07.631+11:00,,,,,,,,,,,,,,,
113,Clients,Web,complete,clickButton,2019-03-05T13:42:21.411+11:00,clientID,ID1550,Web,complete,insertValue,2019-03-05T13:42:25.571+11:00,Web,complete,pressKey,2019-03-05T13:42:34.962+11:00,enter,update,ID1550,Web,complete,clickButton,2019-03-05T13:42:37.442+11:00,address,addA119addB493,Web,complete,insertValue,2019-03-05T13:42:41.108+11:00,Country193,country,Web,complete,insertValue,2019-03-05T13:42:41.552+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:42:45.402+11:00,OK,Web,complete,clickButton,2019-03-05T13:42:50.803+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:42:54.072+11:00,,,,,,,,,,,,,,,
114,Clients,Web,complete,clickButton,2019-03-05T13:43:07+11:00,clientID,ID355,Web,complete,insertValue,2019-03-05T13:43:10.105+11:00,Web,complete,pressKey,2019-03-05T13:43:21.633+11:00,enter,update,ID355,Web,complete,clickButton,2019-03-05T13:43:23.656+11:00,address,addA1973addB96,Web,complete,insertValue,2019-03-05T13:43:26.086+11:00,Country190,country,Web,complete,insertValue,2019-03-05T13:43:26.715+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:43:31.840+11:00,OK,Web,complete,clickButton,2019-03-05T13:43:36.259+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:43:37.747+11:00,,,,,,,,,,,,,,,
115,Clients,Web,complete,clickButton,2019-03-05T13:43:48.570+11:00,clientID,ID111,Web,complete,insertValue,2019-03-05T13:43:52.294+11:00,Web,complete,pressKey,2019-03-05T13:44:03.243+11:00,enter,update,ID111,Web,complete,clickButton,2019-03-05T13:44:07.415+11:00,address,addA20addB1563,Web,complete,insertValue,2019-03-05T13:44:10.443+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:44:14.488+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:44:24.072+11:00,ID111,address,addB1563,Web,complete,copy,2019-03-05T13:44:28.324+11:00,paste,A,addB1563,Excel,5,complete,2019-03-05T13:44:45.553+11:00,save,Excel,complete,saveFile,2019-03-05T13:44:48.847+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:44:52.144+11:00
116,Clients,Web,complete,clickButton,2019-03-05T13:45:05.812+11:00,clientID,ID991,Web,complete,insertValue,2019-03-05T13:45:10.479+11:00,Web,complete,pressKey,2019-03-05T13:45:12.476+11:00,enter,update,ID991,Web,complete,clickButton,2019-03-05T13:45:14.719+11:00,address,addA581addB1601,Web,complete,insertValue,2019-03-05T13:45:17.721+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:45:24.628+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:45:27.965+11:00,ID991,address,addB1601,Web,complete,copy,2019-03-05T13:45:39.296+11:00,paste,A,addB1601,Excel,5,complete,2019-03-05T13:45:43.351+11:00,save,Excel,complete,saveFile,2019-03-05T13:45:46.738+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:45:48.740+11:00
117,Clients,Web,complete,clickButton,2019-03-05T13:46:00.147+11:00,clientID,ID273,Web,complete,insertValue,2019-03-05T13:46:04.035+11:00,Web,complete,pressKey,2019-03-05T13:46:13.912+11:00,enter,update,ID273,Web,complete,clickButton,2019-03-05T13:46:15.634+11:00,address,addA863addB1889,Web,complete,insertValue,2019-03-05T13:46:17.809+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:46:20.824+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:46:32.757+11:00,ID273,address,addB1889,Web,complete,copy,2019-03-05T13:46:46.418+11:00,paste,A,addB1889,Excel,5,complete,2019-03-05T13:47:03.239+11:00,save,Excel,complete,saveFile,2019-03-05T13:47:05.713+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:47:08.086+11:00
118,Clients,Web,complete,clickButton,2019-03-05T13:47:19.755+11:00,clientID,ID233,Web,complete,insertValue,2019-03-05T13:47:23.502+11:00,Web,complete,pressKey,2019-03-05T13:47:34.497+11:00,enter,update,ID233,Web,complete,clickButton,2019-03-05T13:47:37.963+11:00,address,addA1378addB548,Web,complete,insertValue,2019-03-05T13:47:41.994+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:47:47.002+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:47:58.962+11:00,ID233,address,addB548,Web,complete,copy,2019-03-05T13:48:08.294+11:00,paste,A,addB548,Excel,5,complete,2019-03-05T13:48:19.503+11:00,save,Excel,complete,saveFile,2019-03-05T13:48:23.347+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:48:24.695+11:00
119,Clients,Web,complete,clickButton,2019-03-05T13:48:37.854+11:00,clientID,ID913,Web,complete,insertValue,2019-03-05T13:48:41.032+11:00,Web,complete,pressKey,2019-03-05T13:48:41.032+11:00,enter,update,ID913,Web,complete,clickButton,2019-03-05T13:48:44.596+11:00,address,addA1804addB1141,Web,complete,insertValue,2019-03-05T13:48:47.358+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:48:52.117+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:49:03.944+11:00,ID913,address,addB1141,Web,complete,copy,2019-03-05T13:49:10.330+11:00,paste,A,addB1141,Excel,5,complete,2019-03-05T13:49:19.436+11:00,save,Excel,complete,saveFile,2019-03-05T13:49:22.655+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:49:27.826+11:00
120,Clients,Web,complete,clickButton,2019-03-05T13:49:39.561+11:00,clientID,ID45,Web,complete,insertValue,2019-03-05T13:49:42.287+11:00,Web,complete,pressKey,2019-03-05T13:49:53.070+11:00,enter,update,ID45,Web,complete,clickButton,2019-03-05T13:49:54.805+11:00,address,addA1573addB1252,Web,complete,insertValue,2019-03-05T13:49:56.388+11:00,Country22,country,Web,complete,insertValue,2019-03-05T13:50:02.226+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:50:04.102+11:00,OK,Web,complete,clickButton,2019-03-05T13:50:06.517+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:50:09.966+11:00,,,,,,,,,,,,,,,
121,Clients,Web,complete,clickButton,2019-03-05T13:50:22.843+11:00,clientID,ID597,Web,complete,insertValue,2019-03-05T13:50:26.826+11:00,Web,complete,pressKey,2019-03-05T13:50:35.551+11:00,enter,update,ID597,Web,complete,clickButton,2019-03-05T13:50:38.038+11:00,address,addA836addB1404,Web,complete,insertValue,2019-03-05T13:50:41.649+11:00,Country135,country,Web,complete,insertValue,2019-03-05T13:50:45.335+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:50:56.308+11:00,OK,Web,complete,clickButton,2019-03-05T13:50:58.195+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:51:01.659+11:00,,,,,,,,,,,,,,,
122,Clients,Web,complete,clickButton,2019-03-05T13:51:13.950+11:00,clientID,ID586,Web,complete,insertValue,2019-03-05T13:51:17.563+11:00,Web,complete,pressKey,2019-03-05T13:51:19.033+11:00,enter,update,ID586,Web,complete,clickButton,2019-03-05T13:51:22.405+11:00,address,addA1002addB1356,Web,complete,insertValue,2019-03-05T13:51:25.310+11:00,Country81,country,Web,complete,insertValue,2019-03-05T13:51:33.575+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:51:36.112+11:00,OK,Web,complete,clickButton,2019-03-05T13:51:39.305+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:51:42.514+11:00,,,,,,,,,,,,,,,
123,Clients,Web,complete,clickButton,2019-03-05T13:51:55.484+11:00,clientID,ID1528,Web,complete,insertValue,2019-03-05T13:51:57.876+11:00,Web,complete,pressKey,2019-03-05T13:52:00.811+11:00,enter,update,ID1528,Web,complete,clickButton,2019-03-05T13:52:01.917+11:00,address,addA1448addB140,Web,complete,insertValue,2019-03-05T13:52:05.503+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:52:05.503+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:52:15.018+11:00,ID1528,address,addB140,Web,complete,copy,2019-03-05T13:52:27.624+11:00,paste,A,addB140,Excel,5,complete,2019-03-05T13:52:33.465+11:00,save,Excel,complete,saveFile,2019-03-05T13:52:35.626+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:52:39.972+11:00
124,Clients,Web,complete,clickButton,2019-03-05T13:52:54.007+11:00,clientID,ID1810,Web,complete,insertValue,2019-03-05T13:52:55.453+11:00,Web,complete,pressKey,2019-03-05T13:53:07.096+11:00,enter,update,ID1810,Web,complete,clickButton,2019-03-05T13:53:11.097+11:00,address,addA135addB1209,Web,complete,insertValue,2019-03-05T13:53:15.520+11:00,Country51,country,Web,complete,insertValue,2019-03-05T13:53:24.739+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:53:24.739+11:00,OK,Web,complete,clickButton,2019-03-05T13:53:28.261+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:53:31.718+11:00,,,,,,,,,,,,,,,
125,Clients,Web,complete,clickButton,2019-03-05T13:53:43.201+11:00,clientID,ID1070,Web,complete,insertValue,2019-03-05T13:53:46.491+11:00,Web,complete,pressKey,2019-03-05T13:53:52.444+11:00,enter,update,ID1070,Web,complete,clickButton,2019-03-05T13:53:55.166+11:00,address,addA351addB977,Web,complete,insertValue,2019-03-05T13:53:58.695+11:00,Country96,country,Web,complete,insertValue,2019-03-05T13:54:03.612+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:54:25.841+11:00,OK,Web,complete,clickButton,2019-03-05T13:54:28.231+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:54:30.441+11:00,,,,,,,,,,,,,,,
126,Clients,Web,complete,clickButton,2019-03-05T13:54:45.315+11:00,clientID,ID1495,Web,complete,insertValue,2019-03-05T13:54:50.820+11:00,Web,complete,pressKey,2019-03-05T13:54:56.888+11:00,enter,update,ID1495,Web,complete,clickButton,2019-03-05T13:54:59.811+11:00,address,addA1918addB514,Web,complete,insertValue,2019-03-05T13:55:02.858+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:55:07.502+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:55:11.305+11:00,ID1495,address,addB514,Web,complete,copy,2019-03-05T13:55:23.314+11:00,paste,A,addB514,Excel,5,complete,2019-03-05T13:55:28.763+11:00,save,Excel,complete,saveFile,2019-03-05T13:55:33.476+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:55:35.877+11:00
127,Clients,Web,complete,clickButton,2019-03-05T13:55:47.466+11:00,clientID,ID1624,Web,complete,insertValue,2019-03-05T13:55:50.612+11:00,Web,complete,pressKey,2019-03-05T13:56:04.729+11:00,enter,update,ID1624,Web,complete,clickButton,2019-03-05T13:56:08.103+11:00,address,addA1400addB182,Web,complete,insertValue,2019-03-05T13:56:10.449+11:00,Country166,country,Web,complete,insertValue,2019-03-05T13:56:24.415+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T13:56:38.834+11:00,OK,Web,complete,clickButton,2019-03-05T13:56:41.269+11:00,Confirm,Web,complete,clickButton,2019-03-05T13:56:43.638+11:00,,,,,,,,,,,,,,,
128,Clients,Web,complete,clickButton,2019-03-05T13:56:55.460+11:00,clientID,ID1274,Web,complete,insertValue,2019-03-05T13:56:58.974+11:00,Web,complete,pressKey,2019-03-05T13:57:11.440+11:00,enter,update,ID1274,Web,complete,clickButton,2019-03-05T13:57:14.381+11:00,address,addA289addB977,Web,complete,insertValue,2019-03-05T13:57:16.680+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:57:31.084+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:57:43.283+11:00,ID1274,address,addB977,Web,complete,copy,2019-03-05T13:57:50.608+11:00,paste,A,addB977,Excel,5,complete,2019-03-05T13:57:58.110+11:00,save,Excel,complete,saveFile,2019-03-05T13:58:00.893+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:58:05.118+11:00
129,Clients,Web,complete,clickButton,2019-03-05T13:58:17.909+11:00,clientID,ID1363,Web,complete,insertValue,2019-03-05T13:58:21.137+11:00,Web,complete,pressKey,2019-03-05T13:58:28.002+11:00,enter,update,ID1363,Web,complete,clickButton,2019-03-05T13:58:31.774+11:00,address,addA531addB1456,Web,complete,insertValue,2019-03-05T13:58:33.693+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:58:44.578+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:58:55.525+11:00,ID1363,address,addB1456,Web,complete,copy,2019-03-05T13:59:07.951+11:00,paste,A,addB1456,Excel,5,complete,2019-03-05T13:59:10.891+11:00,save,Excel,complete,saveFile,2019-03-05T13:59:12.842+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T13:59:14.965+11:00
130,Clients,Web,complete,clickButton,2019-03-05T13:59:27.373+11:00,clientID,ID1451,Web,complete,insertValue,2019-03-05T13:59:31.993+11:00,Web,complete,pressKey,2019-03-05T13:59:41.458+11:00,enter,update,ID1451,Web,complete,clickButton,2019-03-05T13:59:43.517+11:00,address,addA687addB1363,Web,complete,insertValue,2019-03-05T13:59:46.819+11:00,Australia,country,Web,complete,insertValue,2019-03-05T13:59:46.819+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T13:59:58.610+11:00,ID1451,address,addB1363,Web,complete,copy,2019-03-05T14:00:02.840+11:00,paste,A,addB1363,Excel,5,complete,2019-03-05T14:00:17.997+11:00,save,Excel,complete,saveFile,2019-03-05T14:00:21.758+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:00:23.770+11:00
131,Clients,Web,complete,clickButton,2019-03-05T14:00:37.854+11:00,clientID,ID298,Web,complete,insertValue,2019-03-05T14:00:41.061+11:00,Web,complete,pressKey,2019-03-05T14:00:45.401+11:00,enter,update,ID298,Web,complete,clickButton,2019-03-05T14:00:47.435+11:00,address,addA1022addB964,Web,complete,insertValue,2019-03-05T14:00:49.786+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:00:51.072+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:00:51.072+11:00,ID298,address,addB964,Web,complete,copy,2019-03-05T14:00:53.753+11:00,paste,A,addB964,Excel,5,complete,2019-03-05T14:00:54.218+11:00,save,Excel,complete,saveFile,2019-03-05T14:00:57.049+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:01:00.507+11:00
132,Clients,Web,complete,clickButton,2019-03-05T14:01:12.521+11:00,clientID,ID509,Web,complete,insertValue,2019-03-05T14:01:15.434+11:00,Web,complete,pressKey,2019-03-05T14:01:24.339+11:00,enter,update,ID509,Web,complete,clickButton,2019-03-05T14:01:26.876+11:00,address,addA557addB1732,Web,complete,insertValue,2019-03-05T14:01:28.927+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:01:43.176+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:01:50.312+11:00,ID509,address,addB1732,Web,complete,copy,2019-03-05T14:01:56.785+11:00,paste,A,addB1732,Excel,5,complete,2019-03-05T14:02:00.025+11:00,save,Excel,complete,saveFile,2019-03-05T14:02:03.606+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:02:07.929+11:00
133,Clients,Web,complete,clickButton,2019-03-05T14:02:20.971+11:00,clientID,ID1048,Web,complete,insertValue,2019-03-05T14:02:25.089+11:00,Web,complete,pressKey,2019-03-05T14:02:33.537+11:00,enter,update,ID1048,Web,complete,clickButton,2019-03-05T14:02:36.077+11:00,address,addA548addB179,Web,complete,insertValue,2019-03-05T14:02:38.662+11:00,Country142,country,Web,complete,insertValue,2019-03-05T14:02:54.031+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:03:05.736+11:00,OK,Web,complete,clickButton,2019-03-05T14:03:06.913+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:03:10.961+11:00,,,,,,,,,,,,,,,
134,Clients,Web,complete,clickButton,2019-03-05T14:03:22.824+11:00,clientID,ID1830,Web,complete,insertValue,2019-03-05T14:03:27.421+11:00,Web,complete,pressKey,2019-03-05T14:03:37.007+11:00,enter,update,ID1830,Web,complete,clickButton,2019-03-05T14:03:38.981+11:00,address,addA1033addB1025,Web,complete,insertValue,2019-03-05T14:03:43.219+11:00,Country23,country,Web,complete,insertValue,2019-03-05T14:03:48.275+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:03:53.885+11:00,OK,Web,complete,clickButton,2019-03-05T14:03:55.087+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:03:59.638+11:00,,,,,,,,,,,,,,,
135,Clients,Web,complete,clickButton,2019-03-05T14:04:14.198+11:00,clientID,ID1563,Web,complete,insertValue,2019-03-05T14:04:18.368+11:00,Web,complete,pressKey,2019-03-05T14:04:18.368+11:00,enter,update,ID1563,Web,complete,clickButton,2019-03-05T14:04:20.984+11:00,address,addA957addB137,Web,complete,insertValue,2019-03-05T14:04:21.954+11:00,Country95,country,Web,complete,insertValue,2019-03-05T14:04:25.010+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:04:36.739+11:00,OK,Web,complete,clickButton,2019-03-05T14:04:39.427+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:04:43.996+11:00,,,,,,,,,,,,,,,
136,Clients,Web,complete,clickButton,2019-03-05T14:04:57.386+11:00,clientID,ID758,Web,complete,insertValue,2019-03-05T14:05:00.459+11:00,Web,complete,pressKey,2019-03-05T14:05:09.116+11:00,enter,update,ID758,Web,complete,clickButton,2019-03-05T14:05:12.348+11:00,address,addA1961addB1520,Web,complete,insertValue,2019-03-05T14:05:14.526+11:00,Country11,country,Web,complete,insertValue,2019-03-05T14:05:17.757+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:05:19.310+11:00,OK,Web,complete,clickButton,2019-03-05T14:05:22.491+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:05:25.784+11:00,,,,,,,,,,,,,,,
137,Clients,Web,complete,clickButton,2019-03-05T14:05:39.755+11:00,clientID,ID534,Web,complete,insertValue,2019-03-05T14:05:41.878+11:00,Web,complete,pressKey,2019-03-05T14:05:49.742+11:00,enter,update,ID534,Web,complete,clickButton,2019-03-05T14:05:53.003+11:00,address,addA1574addB737,Web,complete,insertValue,2019-03-05T14:05:56.949+11:00,Country124,country,Web,complete,insertValue,2019-03-05T14:06:02.349+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:06:14.562+11:00,OK,Web,complete,clickButton,2019-03-05T14:06:18.128+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:06:19.857+11:00,,,,,,,,,,,,,,,
138,Clients,Web,complete,clickButton,2019-03-05T14:06:33.680+11:00,clientID,ID1521,Web,complete,insertValue,2019-03-05T14:06:34.820+11:00,Web,complete,pressKey,2019-03-05T14:06:41.519+11:00,enter,update,ID1521,Web,complete,clickButton,2019-03-05T14:06:44.557+11:00,address,addA887addB799,Web,complete,insertValue,2019-03-05T14:06:48.017+11:00,Country141,country,Web,complete,insertValue,2019-03-05T14:07:02.902+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:07:15.816+11:00,OK,Web,complete,clickButton,2019-03-05T14:07:17.540+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:07:22.800+11:00,,,,,,,,,,,,,,,
139,Clients,Web,complete,clickButton,2019-03-05T14:07:36.861+11:00,clientID,ID289,Web,complete,insertValue,2019-03-05T14:07:39.857+11:00,Web,complete,pressKey,2019-03-05T14:07:54.050+11:00,enter,update,ID289,Web,complete,clickButton,2019-03-05T14:07:58.230+11:00,address,addA1295addB1075,Web,complete,insertValue,2019-03-05T14:08:01.547+11:00,Country122,country,Web,complete,insertValue,2019-03-05T14:08:08.388+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:08:20.260+11:00,OK,Web,complete,clickButton,2019-03-05T14:08:22.341+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:08:26.171+11:00,,,,,,,,,,,,,,,
140,Clients,Web,complete,clickButton,2019-03-05T14:08:39.955+11:00,clientID,ID6,Web,complete,insertValue,2019-03-05T14:08:42.457+11:00,Web,complete,pressKey,2019-03-05T14:08:47.320+11:00,enter,update,ID6,Web,complete,clickButton,2019-03-05T14:08:50.914+11:00,address,addA1075addB1442,Web,complete,insertValue,2019-03-05T14:08:54.219+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:09:01.972+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:09:06.347+11:00,ID6,address,addB1442,Web,complete,copy,2019-03-05T14:09:14.433+11:00,paste,A,addB1442,Excel,5,complete,2019-03-05T14:09:28.692+11:00,save,Excel,complete,saveFile,2019-03-05T14:09:32.078+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:09:35.928+11:00
141,Clients,Web,complete,clickButton,2019-03-05T14:09:46.956+11:00,clientID,ID341,Web,complete,insertValue,2019-03-05T14:09:49.362+11:00,Web,complete,pressKey,2019-03-05T14:09:52.536+11:00,enter,update,ID341,Web,complete,clickButton,2019-03-05T14:09:55.371+11:00,address,addA1187addB1569,Web,complete,insertValue,2019-03-05T14:09:57.527+11:00,Country65,country,Web,complete,insertValue,2019-03-05T14:10:17.067+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:10:23.351+11:00,OK,Web,complete,clickButton,2019-03-05T14:10:26.720+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:10:29.650+11:00,,,,,,,,,,,,,,,
142,Clients,Web,complete,clickButton,2019-03-05T14:10:40.926+11:00,clientID,ID1249,Web,complete,insertValue,2019-03-05T14:10:42.918+11:00,Web,complete,pressKey,2019-03-05T14:10:48.534+11:00,enter,update,ID1249,Web,complete,clickButton,2019-03-05T14:10:51.358+11:00,address,addA202addB139,Web,complete,insertValue,2019-03-05T14:10:54.354+11:00,Country64,country,Web,complete,insertValue,2019-03-05T14:10:54.354+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T14:11:03.160+11:00,OK,Web,complete,clickButton,2019-03-05T14:11:04.959+11:00,Confirm,Web,complete,clickButton,2019-03-05T14:11:07.072+11:00,,,,,,,,,,,,,,,
143,Clients,Web,complete,clickButton,2019-03-05T14:11:19.891+11:00,clientID,ID1490,Web,complete,insertValue,2019-03-05T14:11:25.560+11:00,Web,complete,pressKey,2019-03-05T14:11:34.404+11:00,enter,update,ID1490,Web,complete,clickButton,2019-03-05T14:11:36.798+11:00,address,addA888addB438,Web,complete,insertValue,2019-03-05T14:11:39.797+11:00,Australia,country,Web,complete,insertValue,2019-03-05T14:11:44.434+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T14:11:52.516+11:00,ID1490,address,addB438,Web,complete,copy,2019-03-05T14:12:06.488+11:00,paste,A,addB438,Excel,5,complete,2019-03-05T14:12:17.527+11:00,save,Excel,complete,saveFile,2019-03-05T14:12:20.381+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T14:12:25.277+11:00
