Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
222,value1,value383,Web,complete,insertValue,2019-03-05T14:34:05.175+11:00,code,29,Web,complete,insertValue,2019-03-05T14:34:11.774+11:00,B7,Web,complete,clickButton,2019-03-05T14:34:14.019+11:00,Web,complete,goToUrl,2019-03-05T14:34:17.737+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:34:27.155+11:00,code,29,Web,complete,copy,2019-03-05T14:34:30.742+11:00,paste,B,name,29,Excel,785,complete,2019-03-05T14:34:32.564+11:00,cancel,Web,complete,clickButton,2019-03-05T14:34:33.871+11:00,OK,Web
223,value1,value280,Web,complete,insertValue,2019-03-05T14:34:47.235+11:00,code,46,Web,complete,insertValue,2019-03-05T14:34:59.693+11:00,B6,Web,complete,clickButton,2019-03-05T14:35:10.457+11:00,open,Web,complete,clickButton,2019-03-05T14:35:14.282+11:00,code,46,Web,complete,copy,2019-03-05T14:35:17.740+11:00,paste,B,name,46,Excel,1422,complete,2019-03-05T14:35:20.397+11:00,cancel,Web,complete,clickButton,2019-03-05T14:35:21.882+11:00,OK,Web,complete,clickButton,2019-03-05T14:35:25.171+11:00,,
224,value1,value1180,Web,complete,insertValue,2019-03-05T14:35:35.171+11:00,code,25,Web,complete,insertValue,2019-03-05T14:35:38.020+11:00,B7,Web,complete,clickButton,2019-03-05T14:35:48.069+11:00,open,Web,complete,clickButton,2019-03-05T14:35:51.733+11:00,code,25,Web,complete,copy,2019-03-05T14:35:56.017+11:00,paste,B,name,25,Excel,1549,complete,2019-03-05T14:35:58.853+11:00,cancel,Web,complete,clickButton,2019-03-05T14:36:00.905+11:00,OK,Web,complete,clickButton,2019-03-05T14:36:02.978+11:00,,
225,value1,value63,Web,complete,insertValue,2019-03-05T14:36:12.978+11:00,code,21,Web,complete,insertValue,2019-03-05T14:36:28.841+11:00,B6,Web,complete,clickButton,2019-03-05T14:36:38.910+11:00,open,Web,complete,clickButton,2019-03-05T14:36:39.954+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:36:42.552+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T14:36:46.305+11:00,paste,B,name,21,Excel,737,complete,2019-03-05T14:36:49.069+11:00,cancel,Web,complete,clickButton,2019-03-05T14:36:53.135+11:00,OK
226,value1,value667,Web,complete,insertValue,2019-03-05T14:37:08.304+11:00,code,18,Web,complete,insertValue,2019-03-05T14:37:17.330+11:00,B7,Web,complete,clickButton,2019-03-05T14:37:24.318+11:00,Web,complete,goToUrl,2019-03-05T14:37:27.743+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:37:37.425+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:37:40.811+11:00,data123.xls,name1363,Excel,complete,findValue,TRUE,2019-03-05T14:37:43.554+11:00,Web,complete,goToUrl,2019-03-05T14:37:47.685+11:00,www.webpage.com,OK,Web,complete,clickButton
227,value1,value278,Web,complete,insertValue,2019-03-05T14:38:11.210+11:00,code,27,Web,complete,insertValue,2019-03-05T14:38:22.538+11:00,B7,Web,complete,clickButton,2019-03-05T14:38:30.015+11:00,open,Web,complete,clickButton,2019-03-05T14:38:33.621+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:38:36.516+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T14:38:37.892+11:00,paste,B,name,27,Excel,1933,complete,2019-03-05T14:38:40.702+11:00,cancel,Web,complete,clickButton,2019-03-05T14:38:43.460+11:00,OK
228,value1,value1733,Web,complete,insertValue,2019-03-05T14:38:54.437+11:00,code,20,Web,complete,insertValue,2019-03-05T14:39:02.415+11:00,B7,Web,complete,clickButton,2019-03-05T14:39:05.286+11:00,Web,complete,goToUrl,2019-03-05T14:39:07.850+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:39:18.751+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:39:23.491+11:00,data123.xls,name1136,Excel,complete,findValue,TRUE,2019-03-05T14:39:27.160+11:00,Web,complete,goToUrl,2019-03-05T14:39:30.209+11:00,www.webpage.com,OK,Web,complete,clickButton
229,value1,value1974,Web,complete,insertValue,2019-03-05T14:39:51.057+11:00,code,25,Web,complete,insertValue,2019-03-05T14:39:51.057+11:00,B7,Web,complete,clickButton,2019-03-05T14:39:51.503+11:00,open,Web,complete,clickButton,2019-03-05T14:39:52.078+11:00,code,25,Web,complete,copy,2019-03-05T14:39:54.498+11:00,paste,B,name,25,Excel,1658,complete,2019-03-05T14:39:57.451+11:00,Web,complete,goToUrl,2019-03-05T14:40:00.598+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T14:40:04.686+11:00,,
230,value1,value763,Web,complete,insertValue,2019-03-05T14:40:14.686+11:00,code,29,Web,complete,insertValue,2019-03-05T14:40:18.988+11:00,B7,Web,complete,clickButton,2019-03-05T14:40:27.797+11:00,Web,complete,goToUrl,2019-03-05T14:40:30.450+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:40:41.327+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:40:45.172+11:00,data123.xls,code,29,Web,complete,copy,2019-03-05T14:40:47.779+11:00,paste,B,name,29,Excel,1177,complete,2019-03-05T14:40:51.693+11:00,add
231,value1,value282,Web,complete,insertValue,2019-03-05T14:41:09.438+11:00,code,18,Web,complete,insertValue,2019-03-05T14:41:15.761+11:00,B6,Web,complete,clickButton,2019-03-05T14:41:26.907+11:00,open,Web,complete,clickButton,2019-03-05T14:41:31.072+11:00,code,18,Web,complete,copy,2019-03-05T14:41:33.097+11:00,paste,B,name,18,Excel,675,complete,2019-03-05T14:41:36.725+11:00,cancel,Web,complete,clickButton,2019-03-05T14:41:39.022+11:00,OK,Web,complete,clickButton,2019-03-05T14:41:40.732+11:00,,
232,value1,value678,Web,complete,insertValue,2019-03-05T14:41:50.732+11:00,code,45,Web,complete,insertValue,2019-03-05T14:41:55.145+11:00,B6,Web,complete,clickButton,2019-03-05T14:41:55.145+11:00,Web,complete,goToUrl,2019-03-05T14:41:59.069+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:42:06.151+11:00,code,45,Web,complete,copy,2019-03-05T14:42:08.984+11:00,paste,B,name,45,Excel,1310,complete,2019-03-05T14:42:12.017+11:00,cancel,Web,complete,clickButton,2019-03-05T14:42:15.792+11:00,OK,Web
233,value1,value116,Web,complete,insertValue,2019-03-05T14:42:28.709+11:00,code,24,Web,complete,insertValue,2019-03-05T14:42:33.581+11:00,B6,Web,complete,clickButton,2019-03-05T14:42:45.414+11:00,Web,complete,goToUrl,2019-03-05T14:42:48.846+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:42:53.534+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:42:56.420+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T14:43:01.500+11:00,paste,B,name,24,Excel,1162,complete,2019-03-05T14:43:05.524+11:00,Web
234,value1,value1305,Web,complete,insertValue,2019-03-05T14:43:23.642+11:00,code,27,Web,complete,insertValue,2019-03-05T14:43:23.642+11:00,B7,Web,complete,clickButton,2019-03-05T14:43:27.811+11:00,open,Web,complete,clickButton,2019-03-05T14:43:31.500+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:43:37.099+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T14:43:37.907+11:00,paste,B,name,27,Excel,373,complete,2019-03-05T14:43:39.723+11:00,cancel,Web,complete,clickButton,2019-03-05T14:43:42.511+11:00,OK
235,value1,value1270,Web,complete,insertValue,2019-03-05T14:43:55.243+11:00,code,25,Web,complete,insertValue,2019-03-05T14:44:11.145+11:00,B6,Web,complete,clickButton,2019-03-05T14:44:21.795+11:00,open,Web,complete,clickButton,2019-03-05T14:44:24.016+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:44:27.346+11:00,data123.xls,name1568,Excel,complete,findValue,TRUE,2019-03-05T14:44:30.120+11:00,cancel,Web,complete,clickButton,2019-03-05T14:44:31.977+11:00,OK,Web,complete,clickButton,2019-03-05T14:44:33.325+11:00,,,,
236,value1,value1881,Web,complete,insertValue,2019-03-05T14:44:43.325+11:00,code,19,Web,complete,insertValue,2019-03-05T14:44:43.325+11:00,B7,Web,complete,clickButton,2019-03-05T14:44:51.108+11:00,Web,complete,goToUrl,2019-03-05T14:44:53.704+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:45:01.137+11:00,code,19,Web,complete,copy,2019-03-05T14:45:04.818+11:00,paste,B,name,19,Excel,1294,complete,2019-03-05T14:45:08.520+11:00,Web,complete,goToUrl,2019-03-05T14:45:11.619+11:00,www.webpage.com,OK,Web
237,value1,value1908,Web,complete,insertValue,2019-03-05T14:45:28.279+11:00,code,27,Web,complete,insertValue,2019-03-05T14:45:41.957+11:00,B6,Web,complete,clickButton,2019-03-05T14:45:51.771+11:00,Web,complete,goToUrl,2019-03-05T14:45:53.763+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:45:59.888+11:00,code,27,Web,complete,copy,2019-03-05T14:46:02.827+11:00,paste,B,name,27,Excel,236,complete,2019-03-05T14:46:05.753+11:00,add,Web,complete,clickButton,2019-03-05T14:46:07.989+11:00,OK,Web
238,value1,value284,Web,complete,insertValue,2019-03-05T14:46:21.651+11:00,code,22,Web,complete,insertValue,2019-03-05T14:46:37.644+11:00,B7,Web,complete,clickButton,2019-03-05T14:46:42.596+11:00,open,Web,complete,clickButton,2019-03-05T14:46:46.676+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:46:49.918+11:00,data123.xls,code,22,Web,complete,copy,2019-03-05T14:46:52.418+11:00,paste,B,name,22,Excel,1392,complete,2019-03-05T14:46:55.037+11:00,cancel,Web,complete,clickButton,2019-03-05T14:46:57.896+11:00,OK
239,value1,value1616,Web,complete,insertValue,2019-03-05T14:47:11.682+11:00,code,19,Web,complete,insertValue,2019-03-05T14:47:14.753+11:00,B6,Web,complete,clickButton,2019-03-05T14:47:24.433+11:00,open,Web,complete,clickButton,2019-03-05T14:47:25.714+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:47:28.369+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T14:47:33.088+11:00,paste,B,name,19,Excel,633,complete,2019-03-05T14:47:36.774+11:00,Web,complete,goToUrl,2019-03-05T14:47:37.911+11:00,www.webpage.com,OK
240,value1,value80,Web,complete,insertValue,2019-03-05T14:47:51.814+11:00,code,26,Web,complete,insertValue,2019-03-05T14:47:54.440+11:00,B7,Web,complete,clickButton,2019-03-05T14:48:00.896+11:00,open,Web,complete,clickButton,2019-03-05T14:48:02.992+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:48:05.650+11:00,data123.xls,name244,Excel,complete,findValue,TRUE,2019-03-05T14:48:08.460+11:00,Web,complete,goToUrl,2019-03-05T14:48:12.274+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T14:48:27.956+11:00,,,,
241,value1,value126,Web,complete,insertValue,2019-03-05T14:48:37.956+11:00,code,38,Web,complete,insertValue,2019-03-05T14:48:37.956+11:00,B6,Web,complete,clickButton,2019-03-05T14:48:45.294+11:00,Web,complete,goToUrl,2019-03-05T14:48:47.831+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:48:49.891+11:00,code,38,Web,complete,copy,2019-03-05T14:48:52.198+11:00,paste,B,name,38,Excel,1458,complete,2019-03-05T14:48:55.159+11:00,Web,complete,goToUrl,2019-03-05T14:48:57.914+11:00,www.webpage.com,OK,Web
242,value1,value1430,Web,complete,insertValue,2019-03-05T14:49:14.904+11:00,code,38,Web,complete,insertValue,2019-03-05T14:49:19.892+11:00,B6,Web,complete,clickButton,2019-03-05T14:49:26.397+11:00,open,Web,complete,clickButton,2019-03-05T14:49:29.678+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:49:32.898+11:00,data123.xls,name448,Excel,complete,findValue,FALSE,2019-03-05T14:49:35.907+11:00,add,Web,complete,clickButton,2019-03-05T14:49:38.299+11:00,OK,Web,complete,clickButton,2019-03-05T14:49:40.912+11:00,,,,
243,value1,value76,Web,complete,insertValue,2019-03-05T14:49:50.912+11:00,code,24,Web,complete,insertValue,2019-03-05T14:50:01.906+11:00,B6,Web,complete,clickButton,2019-03-05T14:50:05.883+11:00,Web,complete,goToUrl,2019-03-05T14:50:08.233+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:50:16.067+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:50:18.825+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T14:50:20.723+11:00,paste,B,name,24,Excel,622,complete,2019-03-05T14:50:23.272+11:00,cancel
244,value1,value1332,Web,complete,insertValue,2019-03-05T14:50:40.410+11:00,code,21,Web,complete,insertValue,2019-03-05T14:50:47.015+11:00,B7,Web,complete,clickButton,2019-03-05T14:50:53.839+11:00,open,Web,complete,clickButton,2019-03-05T14:50:56.450+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:50:59.597+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T14:51:00.754+11:00,paste,B,name,21,Excel,413,complete,2019-03-05T14:51:03.569+11:00,add,Web,complete,clickButton,2019-03-05T14:51:06.984+11:00,OK
245,value1,value1873,Web,complete,insertValue,2019-03-05T14:51:20.864+11:00,code,29,Web,complete,insertValue,2019-03-05T14:51:27.367+11:00,B6,Web,complete,clickButton,2019-03-05T14:51:36.661+11:00,Web,complete,goToUrl,2019-03-05T14:51:39.179+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:51:49.804+11:00,code,29,Web,complete,copy,2019-03-05T14:51:51.851+11:00,paste,B,name,29,Excel,1071,complete,2019-03-05T14:51:55.563+11:00,Web,complete,goToUrl,2019-03-05T14:52:00.469+11:00,www.webpage.com,OK,Web
246,value1,value1549,Web,complete,insertValue,2019-03-05T14:52:15.225+11:00,code,40,Web,complete,insertValue,2019-03-05T14:52:19.816+11:00,B7,Web,complete,clickButton,2019-03-05T14:52:23.444+11:00,Web,complete,goToUrl,2019-03-05T14:52:27.298+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:52:45.296+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:52:49.079+11:00,data123.xls,name816,Excel,complete,findValue,TRUE,2019-03-05T14:52:52.420+11:00,Web,complete,goToUrl,2019-03-05T14:52:55.020+11:00,www.webpage.com,OK,Web,complete,clickButton
247,value1,value629,Web,complete,insertValue,2019-03-05T14:53:19.415+11:00,code,47,Web,complete,insertValue,2019-03-05T14:53:22.256+11:00,B6,Web,complete,clickButton,2019-03-05T14:53:23.616+11:00,Web,complete,goToUrl,2019-03-05T14:53:26.385+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:53:43.896+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:53:45.462+11:00,data123.xls,name1351,Excel,complete,findValue,FALSE,2019-03-05T14:53:48.527+11:00,cancel,Web,complete,clickButton,2019-03-05T14:53:50.030+11:00,OK,Web,complete,clickButton
248,value1,value1225,Web,complete,insertValue,2019-03-05T14:54:02.992+11:00,code,20,Web,complete,insertValue,2019-03-05T14:54:02.992+11:00,B7,Web,complete,clickButton,2019-03-05T14:54:11.715+11:00,Web,complete,goToUrl,2019-03-05T14:54:15.389+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:54:16.190+11:00,code,20,Web,complete,copy,2019-03-05T14:54:18.494+11:00,paste,B,name,20,Excel,749,complete,2019-03-05T14:54:23.086+11:00,add,Web,complete,clickButton,2019-03-05T14:54:25.588+11:00,OK,Web
249,value1,value1002,Web,complete,insertValue,2019-03-05T14:54:37.636+11:00,code,25,Web,complete,insertValue,2019-03-05T14:54:43.946+11:00,B6,Web,complete,clickButton,2019-03-05T14:54:58.515+11:00,Web,complete,goToUrl,2019-03-05T14:55:02.388+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:55:15.689+11:00,code,25,Web,complete,copy,2019-03-05T14:55:19.074+11:00,paste,B,name,25,Excel,1368,complete,2019-03-05T14:55:22.533+11:00,add,Web,complete,clickButton,2019-03-05T14:55:26.163+11:00,OK,Web
250,value1,value1199,Web,complete,insertValue,2019-03-05T14:55:41.524+11:00,code,28,Web,complete,insertValue,2019-03-05T14:55:51.426+11:00,B6,Web,complete,clickButton,2019-03-05T14:56:03.144+11:00,Web,complete,goToUrl,2019-03-05T14:56:05.848+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:56:11.707+11:00,Excel,complete,openFile,Sheet1,2019-03-05T14:56:15.676+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T14:56:16.346+11:00,paste,B,name,28,Excel,254,complete,2019-03-05T14:56:18.396+11:00,cancel
251,value1,value1071,Web,complete,insertValue,2019-03-05T14:56:32.575+11:00,code,45,Web,complete,insertValue,2019-03-05T14:56:32.575+11:00,B7,Web,complete,clickButton,2019-03-05T14:56:41.720+11:00,open,Web,complete,clickButton,2019-03-05T14:56:42.590+11:00,code,45,Web,complete,copy,2019-03-05T14:56:44.541+11:00,paste,B,name,45,Excel,1376,complete,2019-03-05T14:56:48.765+11:00,Web,complete,goToUrl,2019-03-05T14:56:52.104+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T14:56:55.816+11:00,,
252,value1,value1677,Web,complete,insertValue,2019-03-05T14:57:05.816+11:00,code,29,Web,complete,insertValue,2019-03-05T14:57:12.095+11:00,B7,Web,complete,clickButton,2019-03-05T14:57:27.351+11:00,Web,complete,goToUrl,2019-03-05T14:57:30.319+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:57:30.319+11:00,code,29,Web,complete,copy,2019-03-05T14:57:34.063+11:00,paste,B,name,29,Excel,970,complete,2019-03-05T14:57:37.410+11:00,add,Web,complete,clickButton,2019-03-05T14:57:40.492+11:00,OK,Web
253,value1,value1952,Web,complete,insertValue,2019-03-05T14:57:54.341+11:00,code,41,Web,complete,insertValue,2019-03-05T14:58:07.979+11:00,B6,Web,complete,clickButton,2019-03-05T14:58:23.221+11:00,Web,complete,goToUrl,2019-03-05T14:58:25.302+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:58:29.854+11:00,code,41,Web,complete,copy,2019-03-05T14:58:32.624+11:00,paste,B,name,41,Excel,1511,complete,2019-03-05T14:58:35.997+11:00,cancel,Web,complete,clickButton,2019-03-05T14:58:38.904+11:00,OK,Web
254,value1,value1545,Web,complete,insertValue,2019-03-05T14:58:52.266+11:00,code,23,Web,complete,insertValue,2019-03-05T14:58:59.532+11:00,B7,Web,complete,clickButton,2019-03-05T14:59:06.888+11:00,Web,complete,goToUrl,2019-03-05T14:59:09.616+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T14:59:15.296+11:00,code,23,Web,complete,copy,2019-03-05T14:59:18.344+11:00,paste,B,name,23,Excel,280,complete,2019-03-05T14:59:22.794+11:00,add,Web,complete,clickButton,2019-03-05T14:59:25.807+11:00,OK,Web
255,value1,value1070,Web,complete,insertValue,2019-03-05T14:59:37.577+11:00,code,24,Web,complete,insertValue,2019-03-05T14:59:50.012+11:00,B7,Web,complete,clickButton,2019-03-05T15:00:03.317+11:00,Web,complete,goToUrl,2019-03-05T15:00:05.388+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:00:10.972+11:00,code,24,Web,complete,copy,2019-03-05T15:00:15.911+11:00,paste,B,name,24,Excel,1708,complete,2019-03-05T15:00:20.312+11:00,Web,complete,goToUrl,2019-03-05T15:00:24.510+11:00,www.webpage.com,OK,Web
256,value1,value1661,Web,complete,insertValue,2019-03-05T15:00:44.854+11:00,code,38,Web,complete,insertValue,2019-03-05T15:00:57.700+11:00,B6,Web,complete,clickButton,2019-03-05T15:01:13.687+11:00,Web,complete,goToUrl,2019-03-05T15:01:14.472+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:01:21.005+11:00,code,38,Web,complete,copy,2019-03-05T15:01:24.137+11:00,paste,B,name,38,Excel,1057,complete,2019-03-05T15:01:27.629+11:00,Web,complete,goToUrl,2019-03-05T15:01:29.512+11:00,www.webpage.com,OK,Web
257,value1,value625,Web,complete,insertValue,2019-03-05T15:01:47.776+11:00,code,18,Web,complete,insertValue,2019-03-05T15:01:51.895+11:00,B6,Web,complete,clickButton,2019-03-05T15:02:06.639+11:00,open,Web,complete,clickButton,2019-03-05T15:02:08.683+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:02:12.252+11:00,data123.xls,code,18,Web,complete,copy,2019-03-05T15:02:15.774+11:00,paste,B,name,18,Excel,954,complete,2019-03-05T15:02:18.934+11:00,cancel,Web,complete,clickButton,2019-03-05T15:02:22.236+11:00,OK
258,value1,value854,Web,complete,insertValue,2019-03-05T15:02:35.783+11:00,code,20,Web,complete,insertValue,2019-03-05T15:02:35.783+11:00,B7,Web,complete,clickButton,2019-03-05T15:02:49.958+11:00,Web,complete,goToUrl,2019-03-05T15:02:53.537+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:02:57.050+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:02:59.433+11:00,data123.xls,code,20,Web,complete,copy,2019-03-05T15:03:03.113+11:00,paste,B,name,20,Excel,1322,complete,2019-03-05T15:03:05.818+11:00,Web
259,value1,value1310,Web,complete,insertValue,2019-03-05T15:03:30.830+11:00,code,20,Web,complete,insertValue,2019-03-05T15:03:35.299+11:00,B7,Web,complete,clickButton,2019-03-05T15:03:42.156+11:00,open,Web,complete,clickButton,2019-03-05T15:03:44.198+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:03:48.115+11:00,data123.xls,code,20,Web,complete,copy,2019-03-05T15:03:50.055+11:00,paste,B,name,20,Excel,166,complete,2019-03-05T15:03:51.494+11:00,add,Web,complete,clickButton,2019-03-05T15:03:54.202+11:00,OK
260,value1,value1435,Web,complete,insertValue,2019-03-05T15:04:08.362+11:00,code,25,Web,complete,insertValue,2019-03-05T15:04:13.220+11:00,B7,Web,complete,clickButton,2019-03-05T15:04:19.921+11:00,open,Web,complete,clickButton,2019-03-05T15:04:22.912+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:04:26.359+11:00,data123.xls,name1755,Excel,complete,findValue,TRUE,2019-03-05T15:04:29.654+11:00,Web,complete,goToUrl,2019-03-05T15:04:31.408+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:04:41.310+11:00,,,,
261,value1,value1079,Web,complete,insertValue,2019-03-05T15:04:51.310+11:00,code,33,Web,complete,insertValue,2019-03-05T15:05:01.260+11:00,B6,Web,complete,clickButton,2019-03-05T15:05:02.352+11:00,open,Web,complete,clickButton,2019-03-05T15:05:05.092+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:05:08.078+11:00,data123.xls,code,33,Web,complete,copy,2019-03-05T15:05:11.821+11:00,paste,B,name,33,Excel,1585,complete,2019-03-05T15:05:15.824+11:00,add,Web,complete,clickButton,2019-03-05T15:05:17.350+11:00,OK
262,value1,value1436,Web,complete,insertValue,2019-03-05T15:05:32.255+11:00,code,27,Web,complete,insertValue,2019-03-05T15:05:37.653+11:00,B6,Web,complete,clickButton,2019-03-05T15:05:46.363+11:00,Web,complete,goToUrl,2019-03-05T15:05:50.308+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:06:02.499+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:06:06.144+11:00,data123.xls,name796,Excel,complete,findValue,FALSE,2019-03-05T15:06:08.934+11:00,Web,complete,goToUrl,2019-03-05T15:06:12.701+11:00,www.webpage.com,OK,Web,complete,clickButton
263,value1,value355,Web,complete,insertValue,2019-03-05T15:06:29.891+11:00,code,18,Web,complete,insertValue,2019-03-05T15:06:32.287+11:00,B7,Web,complete,clickButton,2019-03-05T15:06:36.002+11:00,Web,complete,goToUrl,2019-03-05T15:06:37.871+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:06:44.403+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:06:47.953+11:00,data123.xls,code,18,Web,complete,copy,2019-03-05T15:06:48.911+11:00,paste,B,name,18,Excel,972,complete,2019-03-05T15:06:50.408+11:00,add
264,value1,value117,Web,complete,insertValue,2019-03-05T15:07:03.990+11:00,code,23,Web,complete,insertValue,2019-03-05T15:07:06.892+11:00,B7,Web,complete,clickButton,2019-03-05T15:07:26.847+11:00,Web,complete,goToUrl,2019-03-05T15:07:29.060+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:07:41.911+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:07:45.498+11:00,data123.xls,name1582,Excel,complete,findValue,FALSE,2019-03-05T15:07:46.747+11:00,Web,complete,goToUrl,2019-03-05T15:07:48.744+11:00,www.webpage.com,OK,Web,complete,clickButton
265,value1,value1079,Web,complete,insertValue,2019-03-05T15:08:14.661+11:00,code,25,Web,complete,insertValue,2019-03-05T15:08:15.479+11:00,B7,Web,complete,clickButton,2019-03-05T15:08:23.797+11:00,open,Web,complete,clickButton,2019-03-05T15:08:26.881+11:00,code,25,Web,complete,copy,2019-03-05T15:08:30.786+11:00,paste,B,name,25,Excel,660,complete,2019-03-05T15:08:31.931+11:00,Web,complete,goToUrl,2019-03-05T15:08:34.435+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T15:08:48.489+11:00,,
266,value1,value787,Web,complete,insertValue,2019-03-05T15:08:58.489+11:00,code,22,Web,complete,insertValue,2019-03-05T15:09:09.026+11:00,B6,Web,complete,clickButton,2019-03-05T15:09:09.026+11:00,open,Web,complete,clickButton,2019-03-05T15:09:12.922+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:09:17.445+11:00,data123.xls,name1272,Excel,complete,findValue,FALSE,2019-03-05T15:09:20.078+11:00,cancel,Web,complete,clickButton,2019-03-05T15:09:22.109+11:00,OK,Web,complete,clickButton,2019-03-05T15:09:26.173+11:00,,,,
267,value1,value299,Web,complete,insertValue,2019-03-05T15:09:36.173+11:00,code,19,Web,complete,insertValue,2019-03-05T15:09:42.178+11:00,B6,Web,complete,clickButton,2019-03-05T15:09:46.526+11:00,Web,complete,goToUrl,2019-03-05T15:09:49.192+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T15:09:59.251+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:10:02.537+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T15:10:05.884+11:00,paste,B,name,19,Excel,11,complete,2019-03-05T15:10:07.806+11:00,cancel
268,value1,value1024,Web,complete,insertValue,2019-03-05T15:10:23.932+11:00,code,32,Web,complete,insertValue,2019-03-05T15:10:38.262+11:00,B6,Web,complete,clickButton,2019-03-05T15:10:53.477+11:00,open,Web,complete,clickButton,2019-03-05T15:10:57.032+11:00,Excel,complete,openFile,Sheet1,2019-03-05T15:11:02.004+11:00,data123.xls,code,32,Web,complete,copy,2019-03-05T15:11:04.966+11:00,paste,B,name,32,Excel,1935,complete,2019-03-05T15:11:07.976+11:00,cancel,Web,complete,clickButton,2019-03-05T15:11:10.274+11:00,OK
