Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
239,name,name2913,Web,complete,insertValue,2019-03-07T18:23:35.410+11:00,surname,surname2913,Web,complete,insertValue,2019-03-07T18:23:36.091+11:00,age,age27,Web,complete,insertValue,2019-03-07T18:23:56.820+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:24:05.510+11:00,confirm,Web,complete,clickButton,2019-03-07T18:24:13.457+11:00,B3,Web,complete,clickButton,2019-03-07T18:24:14.172+11:00,Button6,Web,complete,clickButton,2019-03-07T18:24:16.037+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:24:18.817+11:00,data.xls,copy,A,value112,Excel,45,complete,2019-03-07T18:24:27.681+11:00,Special code,value112,Web,complete,paste,2019-03-07T18:24:30.483+11:00,OK,Web,complete,clickButton,2019-03-07T18:24:34.869+11:00,,
240,name,name3258,Web,complete,insertValue,2019-03-07T18:24:44.869+11:00,surname,surname3258,Web,complete,insertValue,2019-03-07T18:24:48.789+11:00,age,age26,Web,complete,insertValue,2019-03-07T18:25:02.769+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:25:08.572+11:00,confirm,Web,complete,clickButton,2019-03-07T18:25:11.813+11:00,B4,Web,complete,clickButton,2019-03-07T18:25:14.889+11:00,Clients,Web,complete,clickButton,2019-03-07T18:25:19.738+11:00,clientID,ID3258,Web,complete,insertValue,2019-03-07T18:25:23.958+11:00,Web,complete,pressKey,2019-03-07T18:25:31.713+11:00,enter,update,ID3258,Web,complete,clickButton,2019-03-07T18:25:33.988+11:00,address,addA2981addB2431,Web,complete,insertValue,2019-03-07T18:25:37.803+11:00,Australia,country,Web
241,name,name2704,Web,complete,insertValue,2019-03-07T18:26:54.071+11:00,surname,surname2704,Web,complete,insertValue,2019-03-07T18:27:07.690+11:00,age,age27,Web,complete,insertValue,2019-03-07T18:27:08.194+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:27:16.802+11:00,confirm,Web,complete,clickButton,2019-03-07T18:27:17.972+11:00,B5,Web,complete,clickButton,2019-03-07T18:27:21.433+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T18:27:25.464+11:00,Button6,Web,complete,clickButton,2019-03-07T18:27:32.075+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:27:36.123+11:00,data.xls,copy,B,value1000,Excel,21,complete,2019-03-07T18:27:39.083+11:00,Special code,value1000,Web,complete,paste,2019-03-07T18:27:41.932+11:00,Country
242,name,name3183,Web,complete,insertValue,2019-03-07T18:28:12.898+11:00,surname,surname3183,Web,complete,insertValue,2019-03-07T18:28:16.996+11:00,age,age35,Web,complete,insertValue,2019-03-07T18:28:31.496+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:28:38.673+11:00,confirm,Web,complete,clickButton,2019-03-07T18:28:50.634+11:00,B4,Web,complete,clickButton,2019-03-07T18:28:55.620+11:00,Clients,Web,complete,clickButton,2019-03-07T18:29:00.173+11:00,clientID,ID3183,Web,complete,insertValue,2019-03-07T18:29:02.781+11:00,Web,complete,pressKey,2019-03-07T18:29:17.236+11:00,enter,update,ID3183,Web,complete,clickButton,2019-03-07T18:29:21.527+11:00,address,addA16addB1036,Web,complete,insertValue,2019-03-07T18:29:23.388+11:00,Australia,country,Web
243,name,name633,Web,complete,insertValue,2019-03-07T18:30:03.906+11:00,surname,surname633,Web,complete,insertValue,2019-03-07T18:30:16.155+11:00,age,age41,Web,complete,insertValue,2019-03-07T18:30:20.204+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:30:36.175+11:00,confirm,Web,complete,clickButton,2019-03-07T18:30:50.875+11:00,B1,Web,complete,clickButton,2019-03-07T18:30:54.512+11:00,name,name633,Web,complete,copy,2019-03-07T18:30:56.807+11:00,paste,B,name,name633,Excel,1,complete,2019-03-07T18:31:00.889+11:00,surname,surname633,Web,complete,copy,2019-03-07T18:31:03.106+11:00,paste,B,surname,surname633,Excel,1,complete,2019-03-07T18:31:06.685+11:00,add,Web,complete
244,name,name745,Web,complete,insertValue,2019-03-07T18:31:25.944+11:00,surname,surname745,Web,complete,insertValue,2019-03-07T18:31:36.573+11:00,age,age20,Web,complete,insertValue,2019-03-07T18:31:36.573+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:31:43.842+11:00,confirm,Web,complete,clickButton,2019-03-07T18:31:52.870+11:00,B3,Web,complete,clickButton,2019-03-07T18:31:55.293+11:00,Button6,Web,complete,clickButton,2019-03-07T18:31:58.188+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:32:01.363+11:00,data.xls,copy,A,value234,Excel,76,complete,2019-03-07T18:32:14.396+11:00,Special code,value234,Web,complete,paste,2019-03-07T18:32:17.521+11:00,OK,Web,complete,clickButton,2019-03-07T18:32:20.043+11:00,,
245,name,name842,Web,complete,insertValue,2019-03-07T18:32:30.043+11:00,surname,surname842,Web,complete,insertValue,2019-03-07T18:32:44.748+11:00,age,age22,Web,complete,insertValue,2019-03-07T18:32:57.123+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:33:05.930+11:00,confirm,Web,complete,clickButton,2019-03-07T18:33:08.207+11:00,B3,Web,complete,clickButton,2019-03-07T18:33:11.514+11:00,Button6,Web,complete,clickButton,2019-03-07T18:33:13.866+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:33:15.115+11:00,data.xls,copy,A,value362,Excel,80,complete,2019-03-07T18:33:20.252+11:00,Special code,value362,Web,complete,paste,2019-03-07T18:33:23.434+11:00,OK,Web,complete,clickButton,2019-03-07T18:33:26.727+11:00,,
246,name,name2654,Web,complete,insertValue,2019-03-07T18:33:36.727+11:00,surname,surname2654,Web,complete,insertValue,2019-03-07T18:33:37.930+11:00,age,age20,Web,complete,insertValue,2019-03-07T18:33:43.015+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:33:50.076+11:00,confirm,Web,complete,clickButton,2019-03-07T18:33:57.180+11:00,B1,Web,complete,clickButton,2019-03-07T18:33:59.554+11:00,name,name2654,Web,complete,copy,2019-03-07T18:34:02.754+11:00,paste,B,name,name2654,Excel,1,complete,2019-03-07T18:34:04.983+11:00,surname,surname2654,Web,complete,copy,2019-03-07T18:34:07.041+11:00,paste,B,surname,surname2654,Excel,1,complete,2019-03-07T18:34:09.902+11:00,add,Web,complete
247,name,name3674,Web,complete,insertValue,2019-03-07T18:34:26.808+11:00,surname,surname3674,Web,complete,insertValue,2019-03-07T18:34:31.693+11:00,age,age22,Web,complete,insertValue,2019-03-07T18:34:40.242+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:34:53.188+11:00,confirm,Web,complete,clickButton,2019-03-07T18:35:05.758+11:00,B5,Web,complete,clickButton,2019-03-07T18:35:07.079+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T18:35:10.054+11:00,Button6,Web,complete,clickButton,2019-03-07T18:35:17.149+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:35:21.041+11:00,data.xls,copy,B,value474,Excel,40,complete,2019-03-07T18:35:33.961+11:00,Special code,value474,Web,complete,paste,2019-03-07T18:35:36.890+11:00,Country
248,name,name2843,Web,complete,insertValue,2019-03-07T18:36:11.204+11:00,surname,surname2843,Web,complete,insertValue,2019-03-07T18:36:16.861+11:00,age,age44,Web,complete,insertValue,2019-03-07T18:36:33.010+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:36:46.946+11:00,confirm,Web,complete,clickButton,2019-03-07T18:36:54.790+11:00,B4,Web,complete,clickButton,2019-03-07T18:36:56.779+11:00,Clients,Web,complete,clickButton,2019-03-07T18:36:59.767+11:00,clientID,ID2843,Web,complete,insertValue,2019-03-07T18:37:02.364+11:00,Web,complete,pressKey,2019-03-07T18:37:02.364+11:00,enter,update,ID2843,Web,complete,clickButton,2019-03-07T18:37:04.496+11:00,address,addA2671addB3681,Web,complete,insertValue,2019-03-07T18:37:08.393+11:00,Country135,country,Web
249,name,name1859,Web,complete,insertValue,2019-03-07T18:37:39.238+11:00,surname,surname1859,Web,complete,insertValue,2019-03-07T18:37:51.746+11:00,age,age18,Web,complete,insertValue,2019-03-07T18:38:04.925+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:38:17.576+11:00,confirm,Web,complete,clickButton,2019-03-07T18:38:32.388+11:00,B4,Web,complete,clickButton,2019-03-07T18:38:35.614+11:00,Clients,Web,complete,clickButton,2019-03-07T18:38:39.379+11:00,clientID,ID1859,Web,complete,insertValue,2019-03-07T18:38:42.922+11:00,Web,complete,pressKey,2019-03-07T18:38:58.718+11:00,enter,update,ID1859,Web,complete,clickButton,2019-03-07T18:39:00.969+11:00,address,addA3283addB3537,Web,complete,insertValue,2019-03-07T18:39:04.670+11:00,Australia,country,Web
250,name,name1870,Web,complete,insertValue,2019-03-07T18:40:10.818+11:00,surname,surname1870,Web,complete,insertValue,2019-03-07T18:40:16.486+11:00,age,age18,Web,complete,insertValue,2019-03-07T18:40:25.783+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:40:30.780+11:00,confirm,Web,complete,clickButton,2019-03-07T18:40:45.816+11:00,B1,Web,complete,clickButton,2019-03-07T18:40:48.351+11:00,name,name1870,Web,complete,copy,2019-03-07T18:40:51.118+11:00,paste,B,name,name1870,Excel,1,complete,2019-03-07T18:40:53.510+11:00,surname,surname1870,Web,complete,copy,2019-03-07T18:40:57.149+11:00,paste,B,surname,surname1870,Excel,1,complete,2019-03-07T18:40:59.011+11:00,add,Web,complete
251,name,name771,Web,complete,insertValue,2019-03-07T18:41:18.280+11:00,surname,surname771,Web,complete,insertValue,2019-03-07T18:41:27.207+11:00,age,age21,Web,complete,insertValue,2019-03-07T18:41:33.172+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:41:40.449+11:00,confirm,Web,complete,clickButton,2019-03-07T18:41:47.992+11:00,B5,Web,complete,clickButton,2019-03-07T18:41:51.444+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T18:41:54.281+11:00,Button6,Web,complete,clickButton,2019-03-07T18:41:59.085+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:42:03.412+11:00,data.xls,copy,B,value253,Excel,48,complete,2019-03-07T18:42:21.894+11:00,Special code,value253,Web,complete,paste,2019-03-07T18:42:23.684+11:00,Country
252,name,name1752,Web,complete,insertValue,2019-03-07T18:42:55.353+11:00,surname,surname1752,Web,complete,insertValue,2019-03-07T18:43:02.650+11:00,age,age27,Web,complete,insertValue,2019-03-07T18:43:05.341+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:43:11.639+11:00,confirm,Web,complete,clickButton,2019-03-07T18:43:26.969+11:00,B3,Web,complete,clickButton,2019-03-07T18:43:29.708+11:00,Button6,Web,complete,clickButton,2019-03-07T18:43:30.913+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:43:33.697+11:00,data.xls,copy,A,value550,Excel,81,complete,2019-03-07T18:43:42.318+11:00,Special code,value550,Web,complete,paste,2019-03-07T18:43:47.419+11:00,OK,Web,complete,clickButton,2019-03-07T18:43:50.737+11:00,,
253,name,name1905,Web,complete,insertValue,2019-03-07T18:44:00.737+11:00,surname,surname1905,Web,complete,insertValue,2019-03-07T18:44:07.709+11:00,age,age23,Web,complete,insertValue,2019-03-07T18:44:23.377+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:44:42.456+11:00,confirm,Web,complete,clickButton,2019-03-07T18:44:55.614+11:00,B5,Web,complete,clickButton,2019-03-07T18:44:59.065+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T18:45:00.814+11:00,Button6,Web,complete,clickButton,2019-03-07T18:45:11.758+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:45:14.603+11:00,data.xls,copy,B,value90,Excel,14,complete,2019-03-07T18:45:16.379+11:00,Special code,value90,Web,complete,paste,2019-03-07T18:45:19.661+11:00,Country
254,name,name1045,Web,complete,insertValue,2019-03-07T18:45:38.210+11:00,surname,surname1045,Web,complete,insertValue,2019-03-07T18:45:48.077+11:00,age,age22,Web,complete,insertValue,2019-03-07T18:46:02.380+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:46:07.838+11:00,confirm,Web,complete,clickButton,2019-03-07T18:46:15.714+11:00,B1,Web,complete,clickButton,2019-03-07T18:46:17.993+11:00,name,name1045,Web,complete,copy,2019-03-07T18:46:21.856+11:00,paste,B,name,name1045,Excel,1,complete,2019-03-07T18:46:24.823+11:00,surname,surname1045,Web,complete,copy,2019-03-07T18:46:26.288+11:00,paste,B,surname,surname1045,Excel,1,complete,2019-03-07T18:46:29.100+11:00,add,Web,complete
255,name,name1624,Web,complete,insertValue,2019-03-07T18:46:49.239+11:00,surname,surname1624,Web,complete,insertValue,2019-03-07T18:46:49.239+11:00,age,age28,Web,complete,insertValue,2019-03-07T18:46:57.644+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:47:07.113+11:00,confirm,Web,complete,clickButton,2019-03-07T18:47:22.824+11:00,B4,Web,complete,clickButton,2019-03-07T18:47:25.583+11:00,Clients,Web,complete,clickButton,2019-03-07T18:47:27.088+11:00,clientID,ID1624,Web,complete,insertValue,2019-03-07T18:47:27.289+11:00,Web,complete,pressKey,2019-03-07T18:47:39.155+11:00,enter,update,ID1624,Web,complete,clickButton,2019-03-07T18:47:42.348+11:00,address,addA1672addB189,Web,complete,insertValue,2019-03-07T18:47:46.046+11:00,Country117,country,Web
256,name,name2546,Web,complete,insertValue,2019-03-07T18:48:28.116+11:00,surname,surname2546,Web,complete,insertValue,2019-03-07T18:48:32.884+11:00,age,age24,Web,complete,insertValue,2019-03-07T18:48:32.884+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:48:45.603+11:00,confirm,Web,complete,clickButton,2019-03-07T18:49:01.391+11:00,B3,Web,complete,clickButton,2019-03-07T18:49:06.010+11:00,Button6,Web,complete,clickButton,2019-03-07T18:49:10.579+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:49:13.569+11:00,data.xls,copy,A,value205,Excel,37,complete,2019-03-07T18:49:25.193+11:00,Special code,value205,Web,complete,paste,2019-03-07T18:49:29.660+11:00,OK,Web,complete,clickButton,2019-03-07T18:49:32.584+11:00,,
257,name,name706,Web,complete,insertValue,2019-03-07T18:49:42.584+11:00,surname,surname706,Web,complete,insertValue,2019-03-07T18:49:54.415+11:00,age,age28,Web,complete,insertValue,2019-03-07T18:49:54.757+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:49:57.689+11:00,confirm,Web,complete,clickButton,2019-03-07T18:50:04.618+11:00,B5,Web,complete,clickButton,2019-03-07T18:50:08.511+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T18:50:12.489+11:00,Button6,Web,complete,clickButton,2019-03-07T18:50:14.775+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:50:17.719+11:00,data.xls,copy,B,value91,Excel,76,complete,2019-03-07T18:50:17.719+11:00,Special code,value91,Web,complete,paste,2019-03-07T18:50:21.556+11:00,Country
258,name,name1413,Web,complete,insertValue,2019-03-07T18:50:47.117+11:00,surname,surname1413,Web,complete,insertValue,2019-03-07T18:50:47.117+11:00,age,age25,Web,complete,insertValue,2019-03-07T18:50:51.377+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:50:54.731+11:00,confirm,Web,complete,clickButton,2019-03-07T18:51:06.794+11:00,B1,Web,complete,clickButton,2019-03-07T18:51:09.346+11:00,name,name1413,Web,complete,copy,2019-03-07T18:51:11.749+11:00,paste,B,name,name1413,Excel,1,complete,2019-03-07T18:51:16.049+11:00,surname,surname1413,Web,complete,copy,2019-03-07T18:51:20.795+11:00,paste,B,surname,surname1413,Excel,1,complete,2019-03-07T18:51:24.560+11:00,add,Web,complete
259,name,name102,Web,complete,insertValue,2019-03-07T18:51:44.001+11:00,surname,surname102,Web,complete,insertValue,2019-03-07T18:51:57.038+11:00,age,age26,Web,complete,insertValue,2019-03-07T18:52:01.211+11:00,T2,type,Web,complete,insertValue,2019-03-07T18:52:03.163+11:00,confirm,Web,complete,clickButton,2019-03-07T18:52:06.327+11:00,B3,Web,complete,clickButton,2019-03-07T18:52:10.046+11:00,Button6,Web,complete,clickButton,2019-03-07T18:52:12.819+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:52:15.557+11:00,data.xls,copy,A,value858,Excel,66,complete,2019-03-07T18:52:21.733+11:00,Special code,value858,Web,complete,paste,2019-03-07T18:52:24.750+11:00,OK,Web,complete,clickButton,2019-03-07T18:52:27.705+11:00,,
260,name,name3548,Web,complete,insertValue,2019-03-07T18:52:37.705+11:00,surname,surname3548,Web,complete,insertValue,2019-03-07T18:52:50.939+11:00,age,age18,Web,complete,insertValue,2019-03-07T18:52:59.044+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:53:09.045+11:00,confirm,Web,complete,clickButton,2019-03-07T18:53:17.645+11:00,B4,Web,complete,clickButton,2019-03-07T18:53:19.470+11:00,Clients,Web,complete,clickButton,2019-03-07T18:53:20.781+11:00,clientID,ID3548,Web,complete,insertValue,2019-03-07T18:53:23.382+11:00,Web,complete,pressKey,2019-03-07T18:53:37.025+11:00,enter,update,ID3548,Web,complete,clickButton,2019-03-07T18:53:41.555+11:00,address,addA1839addB3856,Web,complete,insertValue,2019-03-07T18:53:44.171+11:00,Country170,country,Web
261,name,name1405,Web,complete,insertValue,2019-03-07T18:54:22.457+11:00,surname,surname1405,Web,complete,insertValue,2019-03-07T18:54:24.565+11:00,age,age25,Web,complete,insertValue,2019-03-07T18:54:29.194+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:54:34.529+11:00,confirm,Web,complete,clickButton,2019-03-07T18:54:48.464+11:00,B4,Web,complete,clickButton,2019-03-07T18:54:53.987+11:00,Clients,Web,complete,clickButton,2019-03-07T18:54:56.507+11:00,clientID,ID1405,Web,complete,insertValue,2019-03-07T18:55:01.727+11:00,Web,complete,pressKey,2019-03-07T18:55:10.327+11:00,enter,update,ID1405,Web,complete,clickButton,2019-03-07T18:55:13.288+11:00,address,addA1688addB3923,Web,complete,insertValue,2019-03-07T18:55:14.792+11:00,Australia,country,Web
262,name,name3180,Web,complete,insertValue,2019-03-07T18:56:08.800+11:00,surname,surname3180,Web,complete,insertValue,2019-03-07T18:56:16.941+11:00,age,age20,Web,complete,insertValue,2019-03-07T18:56:25.936+11:00,T1,type,Web,complete,insertValue,2019-03-07T18:56:32.949+11:00,confirm,Web,complete,clickButton,2019-03-07T18:56:44.153+11:00,B1,Web,complete,clickButton,2019-03-07T18:56:48.359+11:00,name,name3180,Web,complete,copy,2019-03-07T18:56:51.550+11:00,paste,B,name,name3180,Excel,1,complete,2019-03-07T18:56:54.023+11:00,surname,surname3180,Web,complete,copy,2019-03-07T18:56:57.834+11:00,paste,B,surname,surname3180,Excel,1,complete,2019-03-07T18:57:02.222+11:00,add,Web,complete
263,name,name154,Web,complete,insertValue,2019-03-07T18:57:22.763+11:00,surname,surname154,Web,complete,insertValue,2019-03-07T18:57:31.859+11:00,age,age23,Web,complete,insertValue,2019-03-07T18:57:44.426+11:00,T3,type,Web,complete,insertValue,2019-03-07T18:58:00.302+11:00,confirm,Web,complete,clickButton,2019-03-07T18:58:05.340+11:00,B4,Web,complete,clickButton,2019-03-07T18:58:08.166+11:00,Clients,Web,complete,clickButton,2019-03-07T18:58:12.015+11:00,clientID,ID154,Web,complete,insertValue,2019-03-07T18:58:13.932+11:00,Web,complete,pressKey,2019-03-07T18:58:17.036+11:00,enter,update,ID154,Web,complete,clickButton,2019-03-07T18:58:21.659+11:00,address,addA3988addB3900,Web,complete,insertValue,2019-03-07T18:58:24.742+11:00,Country50,country,Web
264,name,name283,Web,complete,insertValue,2019-03-07T18:59:03.551+11:00,surname,surname283,Web,complete,insertValue,2019-03-07T18:59:04.850+11:00,age,age48,Web,complete,insertValue,2019-03-07T18:59:11.881+11:00,T4,type,Web,complete,insertValue,2019-03-07T18:59:17.264+11:00,confirm,Web,complete,clickButton,2019-03-07T18:59:22.847+11:00,B5,Web,complete,clickButton,2019-03-07T18:59:27.604+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T18:59:30.512+11:00,Button6,Web,complete,clickButton,2019-03-07T18:59:37.910+11:00,Excel,complete,openFile,Sheet1,2019-03-07T18:59:39.883+11:00,data.xls,copy,B,value869,Excel,29,complete,2019-03-07T18:59:46.598+11:00,Special code,value869,Web,complete,paste,2019-03-07T18:59:50.190+11:00,Country
265,name,name693,Web,complete,insertValue,2019-03-07T19:00:16.876+11:00,surname,surname693,Web,complete,insertValue,2019-03-07T19:00:22.398+11:00,age,age24,Web,complete,insertValue,2019-03-07T19:00:29.396+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:00:36.562+11:00,confirm,Web,complete,clickButton,2019-03-07T19:00:50.222+11:00,B3,Web,complete,clickButton,2019-03-07T19:00:54.627+11:00,Button6,Web,complete,clickButton,2019-03-07T19:00:57.132+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:01:00.427+11:00,data.xls,copy,A,value412,Excel,39,complete,2019-03-07T19:01:15.131+11:00,Special code,value412,Web,complete,paste,2019-03-07T19:01:17.305+11:00,OK,Web,complete,clickButton,2019-03-07T19:01:20.726+11:00,,
266,name,name547,Web,complete,insertValue,2019-03-07T19:01:30.726+11:00,surname,surname547,Web,complete,insertValue,2019-03-07T19:01:30.726+11:00,age,age29,Web,complete,insertValue,2019-03-07T19:01:36.912+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:01:41.220+11:00,confirm,Web,complete,clickButton,2019-03-07T19:01:52.830+11:00,B1,Web,complete,clickButton,2019-03-07T19:01:56.235+11:00,name,name547,Web,complete,copy,2019-03-07T19:01:59.332+11:00,paste,B,name,name547,Excel,1,complete,2019-03-07T19:02:01.899+11:00,surname,surname547,Web,complete,copy,2019-03-07T19:02:05.987+11:00,paste,B,surname,surname547,Excel,1,complete,2019-03-07T19:02:08.687+11:00,add,Web,complete
267,name,name1500,Web,complete,insertValue,2019-03-07T19:02:30.281+11:00,surname,surname1500,Web,complete,insertValue,2019-03-07T19:02:38.921+11:00,age,age27,Web,complete,insertValue,2019-03-07T19:02:44.641+11:00,T2,type,Web,complete,insertValue,2019-03-07T19:02:51.809+11:00,confirm,Web,complete,clickButton,2019-03-07T19:03:07.338+11:00,B3,Web,complete,clickButton,2019-03-07T19:03:10.108+11:00,Button6,Web,complete,clickButton,2019-03-07T19:03:14.586+11:00,Excel,complete,openFile,Sheet1,2019-03-07T19:03:17.849+11:00,data.xls,copy,A,value559,Excel,39,complete,2019-03-07T19:03:26.349+11:00,Special code,value559,Web,complete,paste,2019-03-07T19:03:29.999+11:00,OK,Web,complete,clickButton,2019-03-07T19:03:31.971+11:00,,
268,name,name1459,Web,complete,insertValue,2019-03-07T19:03:41.971+11:00,surname,surname1459,Web,complete,insertValue,2019-03-07T19:03:52.375+11:00,age,age29,Web,complete,insertValue,2019-03-07T19:03:57.384+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:04:05.549+11:00,confirm,Web,complete,clickButton,2019-03-07T19:04:16.827+11:00,B1,Web,complete,clickButton,2019-03-07T19:04:19.537+11:00,name,name1459,Web,complete,copy,2019-03-07T19:04:22.944+11:00,paste,B,name,name1459,Excel,1,complete,2019-03-07T19:04:25.764+11:00,surname,surname1459,Web,complete,copy,2019-03-07T19:04:27.580+11:00,paste,B,surname,surname1459,Excel,1,complete,2019-03-07T19:04:29.365+11:00,add,Web,complete
269,name,name1720,Web,complete,insertValue,2019-03-07T19:04:48.795+11:00,surname,surname1720,Web,complete,insertValue,2019-03-07T19:04:58.234+11:00,age,age23,Web,complete,insertValue,2019-03-07T19:05:11.112+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:05:23.815+11:00,confirm,Web,complete,clickButton,2019-03-07T19:05:34.463+11:00,B4,Web,complete,clickButton,2019-03-07T19:05:36.481+11:00,Clients,Web,complete,clickButton,2019-03-07T19:05:40.362+11:00,clientID,ID1720,Web,complete,insertValue,2019-03-07T19:05:41.957+11:00,Web,complete,pressKey,2019-03-07T19:05:57.375+11:00,enter,update,ID1720,Web,complete,clickButton,2019-03-07T19:06:01.312+11:00,address,addA3080addB2395,Web,complete,insertValue,2019-03-07T19:06:04.433+11:00,Australia,country,Web
270,name,name1575,Web,complete,insertValue,2019-03-07T19:06:51.507+11:00,surname,surname1575,Web,complete,insertValue,2019-03-07T19:06:58.721+11:00,age,age25,Web,complete,insertValue,2019-03-07T19:07:13.870+11:00,T3,type,Web,complete,insertValue,2019-03-07T19:07:13.870+11:00,confirm,Web,complete,clickButton,2019-03-07T19:07:22.321+11:00,B4,Web,complete,clickButton,2019-03-07T19:07:23.797+11:00,Clients,Web,complete,clickButton,2019-03-07T19:07:28.230+11:00,clientID,ID1575,Web,complete,insertValue,2019-03-07T19:07:30.342+11:00,Web,complete,pressKey,2019-03-07T19:07:40.974+11:00,enter,update,ID1575,Web,complete,clickButton,2019-03-07T19:07:43.965+11:00,address,addA2786addB1395,Web,complete,insertValue,2019-03-07T19:07:45.897+11:00,Australia,country,Web
271,name,name1478,Web,complete,insertValue,2019-03-07T19:08:50.065+11:00,surname,surname1478,Web,complete,insertValue,2019-03-07T19:08:57.069+11:00,age,age27,Web,complete,insertValue,2019-03-07T19:09:10.389+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:09:22.937+11:00,confirm,Web,complete,clickButton,2019-03-07T19:09:31.947+11:00,B1,Web,complete,clickButton,2019-03-07T19:09:34.136+11:00,name,name1478,Web,complete,copy,2019-03-07T19:09:37.710+11:00,paste,B,name,name1478,Excel,1,complete,2019-03-07T19:09:41.457+11:00,surname,surname1478,Web,complete,copy,2019-03-07T19:09:42.956+11:00,paste,B,surname,surname1478,Excel,1,complete,2019-03-07T19:09:45.898+11:00,add,Web,complete
272,name,name1365,Web,complete,insertValue,2019-03-07T19:10:06.055+11:00,surname,surname1365,Web,complete,insertValue,2019-03-07T19:10:09.105+11:00,age,age23,Web,complete,insertValue,2019-03-07T19:10:22.112+11:00,T1,type,Web,complete,insertValue,2019-03-07T19:10:33.710+11:00,confirm,Web,complete,clickButton,2019-03-07T19:10:51.519+11:00,B1,Web,complete,clickButton,2019-03-07T19:10:54.091+11:00,name,name1365,Web,complete,copy,2019-03-07T19:10:58.372+11:00,paste,B,name,name1365,Excel,1,complete,2019-03-07T19:11:03.021+11:00,surname,surname1365,Web,complete,copy,2019-03-07T19:11:05.323+11:00,paste,B,surname,surname1365,Excel,1,complete,2019-03-07T19:11:07.443+11:00,add,Web,complete
